items
"['B', 'C', 'I', 'L', 'M', 'N', 'P']"
"['E', 'G', 'K', 'L', 'M', 'P', 'Q']"
"['A', 'B', 'H', 'L', 'M', 'N', 'O']"
"['B', 'D', 'G', 'H', 'K', 'M', 'N']"
"['E', 'I', 'K', 'M', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'I', 'L', 'O', 'Q']"
"['A', 'H', 'J', 'K', 'N', 'P', 'Q']"
"['B', 'C', 'F', 'G', 'H', 'I', 'J']"
"['C', 'D', 'J', 'L', 'O', 'P', 'Q']"
"['A', 'B', 'E', 'F', 'G', 'J', 'L']"
"['A', 'C', 'D', 'F', 'J', 'K', 'M']"
"['A', 'C', 'F', 'H', 'J', 'K', 'Q']"
"['A', 'B', 'F', 'H', 'I', 'K', 'N']"
"['A', 'B', 'F', 'G', 'L', 'P', 'Q']"
"['A', 'B', 'C', 'G', 'K', 'L', 'Q']"
"['C', 'D', 'E', 'F', 'I', 'L', 'N']"
"['A', 'C', 'D', 'H', 'L', 'O', 'Q']"
"['A', 'E', 'F', 'G', 'H', 'O', 'Q']"
"['B', 'F', 'G', 'J', 'N', 'O', 'Q']"
"['B', 'E', 'I', 'K', 'M', 'N', 'O']"
"['B', 'C', 'D', 'F', 'G', 'K', 'P']"
"['A', 'G', 'H', 'I', 'K', 'L', 'N']"
"['E', 'G', 'I', 'L', 'M', 'N', 'Q']"
"['A', 'G', 'I', 'K', 'L', 'P', 'Q']"
"['A', 'B', 'E', 'I', 'M', 'N', 'Q']"
"['F', 'G', 'I', 'K', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'F', 'I', 'J', 'L']"
"['B', 'C', 'D', 'E', 'F', 'I', 'K']"
"['B', 'D', 'H', 'N', 'O', 'P', 'Q']"
"['E', 'F', 'H', 'I', 'J', 'K', 'P']"
"['C', 'E', 'G', 'I', 'J', 'L', 'N']"
"['C', 'G', 'H', 'I', 'J', 'L', 'P']"
"['A', 'E', 'F', 'I', 'J', 'N', 'Q']"
"['A', 'C', 'G', 'I', 'L', 'P', 'Q']"
"['A', 'B', 'G', 'J', 'K', 'O', 'Q']"
"['E', 'F', 'I', 'J', 'L', 'O', 'Q']"
"['A', 'C', 'D', 'E', 'F', 'O', 'Q']"
"['C', 'D', 'G', 'H', 'L', 'N', 'Q']"
"['B', 'D', 'E', 'J', 'L', 'O', 'Q']"
"['C', 'F', 'G', 'K', 'L', 'O', 'Q']"
"['B', 'C', 'D', 'J', 'L', 'O', 'P']"
"['B', 'C', 'H', 'I', 'J', 'O', 'Q']"
"['F', 'H', 'I', 'J', 'L', 'O', 'P']"
"['D', 'G', 'H', 'I', 'L', 'N', 'Q']"
"['B', 'H', 'J', 'K', 'L', 'N', 'P']"
"['A', 'B', 'E', 'L', 'O', 'P', 'Q']"
"['B', 'E', 'F', 'G', 'H', 'L', 'N']"
"['A', 'F', 'G', 'H', 'J', 'K', 'N']"
"['D', 'E', 'F', 'H', 'I', 'L', 'N']"
"['A', 'E', 'G', 'J', 'L', 'M', 'O']"
"['B', 'D', 'H', 'J', 'K', 'O', 'Q']"
"['A', 'F', 'G', 'I', 'L', 'M', 'Q']"
"['A', 'C', 'D', 'G', 'K', 'L', 'N']"
"['C', 'F', 'G', 'H', 'I', 'L', 'P']"
"['B', 'C', 'E', 'F', 'K', 'O', 'Q']"
"['C', 'E', 'J', 'K', 'L', 'N', 'P']"
"['A', 'C', 'F', 'I', 'K', 'O', 'Q']"
"['A', 'B', 'F', 'J', 'K', 'N', 'Q']"
"['B', 'E', 'H', 'K', 'M', 'N', 'Q']"
"['A', 'D', 'E', 'F', 'J', 'M', 'Q']"
"['B', 'E', 'F', 'I', 'J', 'M', 'P']"
"['A', 'C', 'D', 'E', 'F', 'N', 'O']"
"['B', 'C', 'D', 'J', 'K', 'M', 'N']"
"['A', 'E', 'H', 'I', 'K', 'N', 'Q']"
"['F', 'G', 'H', 'M', 'N', 'P', 'Q']"
"['D', 'F', 'G', 'H', 'I', 'L', 'N']"
"['D', 'E', 'G', 'J', 'M', 'P', 'Q']"
"['B', 'F', 'J', 'L', 'M', 'N', 'Q']"
"['D', 'G', 'I', 'K', 'L', 'M', 'N']"
"['B', 'E', 'G', 'I', 'J', 'L', 'P']"
"['A', 'C', 'D', 'E', 'G', 'N', 'P']"
"['A', 'B', 'C', 'D', 'L', 'M', 'Q']"
"['A', 'B', 'E', 'F', 'G', 'M', 'O']"
"['A', 'B', 'D', 'G', 'I', 'J', 'M']"
"['A', 'B', 'E', 'J', 'M', 'O', 'Q']"
"['B', 'D', 'F', 'J', 'L', 'M', 'N']"
"['B', 'C', 'D', 'H', 'J', 'K', 'L']"
"['F', 'G', 'J', 'K', 'L', 'N', 'Q']"
"['A', 'C', 'F', 'H', 'K', 'L', 'M']"
"['B', 'E', 'F', 'G', 'M', 'O', 'P']"
"['A', 'C', 'E', 'I', 'K', 'M', 'P']"
"['B', 'C', 'D', 'E', 'G', 'M', 'N']"
"['B', 'F', 'K', 'L', 'M', 'N', 'Q']"
"['A', 'B', 'D', 'F', 'G', 'J', 'Q']"
"['C', 'D', 'I', 'J', 'L', 'N', 'Q']"
"['A', 'C', 'I', 'J', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'I', 'L', 'M', 'P']"
"['A', 'B', 'C', 'H', 'K', 'P', 'Q']"
"['B', 'C', 'E', 'F', 'I', 'J', 'Q']"
"['F', 'H', 'I', 'N', 'O', 'P', 'Q']"
"['C', 'E', 'H', 'K', 'N', 'O', 'Q']"
"['C', 'E', 'H', 'J', 'K', 'O', 'P']"
"['A', 'D', 'E', 'F', 'G', 'J', 'O']"
"['A', 'B', 'C', 'I', 'J', 'O', 'Q']"
"['A', 'B', 'D', 'E', 'I', 'L', 'N']"
"['C', 'D', 'H', 'I', 'K', 'L', 'O']"
"['C', 'D', 'F', 'J', 'K', 'M', 'Q']"
"['A', 'D', 'G', 'H', 'I', 'J', 'L']"
"['B', 'C', 'E', 'H', 'K', 'L', 'N']"
"['F', 'G', 'J', 'M', 'O', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'G', 'H', 'J']"
"['B', 'D', 'F', 'G', 'L', 'N', 'O']"
"['A', 'D', 'G', 'H', 'L', 'M', 'P']"
"['A', 'B', 'E', 'G', 'H', 'P', 'Q']"
"['B', 'C', 'F', 'H', 'K', 'M', 'Q']"
"['A', 'B', 'C', 'E', 'J', 'M', 'O']"
"['A', 'E', 'H', 'J', 'L', 'P', 'Q']"
"['A', 'C', 'F', 'G', 'H', 'M', 'O']"
"['D', 'E', 'H', 'I', 'N', 'O', 'Q']"
"['A', 'E', 'H', 'K', 'L', 'M', 'P']"
"['D', 'F', 'G', 'J', 'M', 'N', 'P']"
"['B', 'C', 'G', 'I', 'J', 'N', 'P']"
"['A', 'C', 'E', 'J', 'M', 'P', 'Q']"
"['E', 'G', 'J', 'L', 'M', 'N', 'O']"
"['C', 'F', 'I', 'J', 'M', 'P', 'Q']"
"['B', 'C', 'D', 'G', 'K', 'O', 'P']"
"['A', 'G', 'H', 'I', 'K', 'M', 'O']"
"['A', 'D', 'E', 'F', 'G', 'H', 'P']"
"['A', 'B', 'D', 'J', 'M', 'N', 'Q']"
"['D', 'E', 'H', 'J', 'L', 'N', 'P']"
"['A', 'C', 'H', 'M', 'O', 'P', 'Q']"
"['B', 'D', 'E', 'G', 'I', 'K', 'O']"
"['A', 'F', 'J', 'K', 'M', 'P', 'Q']"
"['A', 'D', 'I', 'J', 'M', 'O', 'P']"
"['D', 'G', 'I', 'K', 'M', 'P', 'Q']"
"['D', 'E', 'G', 'H', 'I', 'K', 'L']"
"['B', 'E', 'F', 'G', 'H', 'M', 'P']"
"['F', 'I', 'J', 'L', 'M', 'N', 'O']"
"['D', 'E', 'H', 'J', 'K', 'M', 'O']"
"['B', 'E', 'F', 'G', 'I', 'J', 'P']"
"['E', 'G', 'I', 'J', 'L', 'N', 'O']"
"['E', 'H', 'I', 'L', 'N', 'O', 'Q']"
"['D', 'I', 'J', 'L', 'N', 'O', 'Q']"
"['F', 'G', 'H', 'J', 'K', 'L', 'Q']"
"['A', 'C', 'D', 'E', 'F', 'G', 'J']"
"['B', 'C', 'D', 'E', 'K', 'O', 'Q']"
"['A', 'D', 'F', 'J', 'K', 'M', 'N']"
"['A', 'B', 'F', 'G', 'J', 'K', 'L']"
"['C', 'F', 'M', 'N', 'O', 'P', 'Q']"
"['A', 'D', 'F', 'J', 'K', 'M', 'Q']"
"['A', 'C', 'K', 'L', 'M', 'N', 'O']"
"['B', 'C', 'E', 'G', 'I', 'J', 'K']"
"['E', 'F', 'H', 'J', 'N', 'P', 'Q']"
"['A', 'F', 'G', 'H', 'J', 'L', 'P']"
"['A', 'C', 'E', 'F', 'I', 'J', 'P']"
"['D', 'E', 'F', 'I', 'K', 'L', 'Q']"
"['A', 'C', 'G', 'J', 'K', 'L', 'O']"
"['A', 'E', 'F', 'G', 'H', 'K', 'L']"
"['A', 'B', 'F', 'G', 'J', 'L', 'O']"
"['A', 'B', 'F', 'G', 'H', 'J', 'K']"
"['B', 'D', 'E', 'F', 'J', 'N', 'P']"
"['A', 'C', 'E', 'F', 'I', 'L', 'N']"
"['A', 'C', 'D', 'G', 'H', 'M', 'O']"
"['C', 'D', 'E', 'G', 'J', 'K', 'O']"
"['A', 'C', 'D', 'E', 'G', 'M', 'N']"
"['A', 'C', 'G', 'I', 'J', 'K', 'P']"
"['E', 'F', 'I', 'N', 'O', 'P', 'Q']"
"['E', 'F', 'H', 'J', 'M', 'N', 'O']"
"['B', 'G', 'H', 'L', 'M', 'O', 'Q']"
"['D', 'E', 'G', 'H', 'I', 'J', 'Q']"
"['B', 'C', 'F', 'H', 'K', 'L', 'Q']"
"['D', 'F', 'G', 'I', 'J', 'M', 'O']"
"['D', 'F', 'I', 'J', 'K', 'L', 'P']"
"['A', 'B', 'H', 'I', 'L', 'O', 'Q']"
"['B', 'C', 'E', 'F', 'G', 'M', 'O']"
"['A', 'C', 'E', 'I', 'J', 'L', 'Q']"
"['C', 'E', 'H', 'I', 'L', 'M', 'Q']"
"['D', 'G', 'I', 'J', 'K', 'P', 'Q']"
"['E', 'F', 'G', 'H', 'K', 'O', 'Q']"
"['E', 'G', 'H', 'J', 'K', 'O', 'P']"
"['B', 'D', 'E', 'G', 'N', 'O', 'P']"
"['A', 'D', 'G', 'I', 'L', 'M', 'N']"
"['C', 'E', 'F', 'J', 'L', 'M', 'P']"
"['B', 'C', 'F', 'G', 'K', 'N', 'O']"
"['F', 'G', 'I', 'J', 'M', 'N', 'O']"
"['A', 'E', 'G', 'H', 'I', 'K', 'M']"
"['B', 'D', 'E', 'K', 'M', 'P', 'Q']"
"['C', 'F', 'K', 'N', 'O', 'P', 'Q']"
"['A', 'F', 'G', 'H', 'K', 'L', 'Q']"
"['A', 'C', 'G', 'H', 'M', 'N', 'O']"
"['A', 'B', 'E', 'J', 'K', 'M', 'O']"
"['C', 'D', 'G', 'H', 'I', 'M', 'N']"
"['C', 'E', 'J', 'K', 'M', 'P', 'Q']"
"['D', 'F', 'I', 'J', 'L', 'M', 'P']"
"['D', 'F', 'L', 'N', 'O', 'P', 'Q']"
"['A', 'B', 'G', 'J', 'O', 'P', 'Q']"
"['A', 'B', 'F', 'I', 'K', 'L', 'Q']"
"['D', 'E', 'F', 'H', 'I', 'K', 'M']"
"['A', 'B', 'F', 'H', 'J', 'K', 'P']"
"['B', 'C', 'E', 'G', 'I', 'P', 'Q']"
"['C', 'F', 'G', 'H', 'K', 'L', 'M']"
"['D', 'F', 'G', 'J', 'N', 'O', 'Q']"
"['D', 'F', 'G', 'L', 'O', 'P', 'Q']"
"['B', 'G', 'I', 'J', 'L', 'O', 'Q']"
"['B', 'F', 'J', 'K', 'N', 'O', 'Q']"
"['C', 'E', 'J', 'K', 'M', 'O', 'Q']"
"['C', 'F', 'H', 'M', 'N', 'O', 'P']"
"['A', 'B', 'C', 'G', 'K', 'M', 'N']"
"['C', 'D', 'F', 'H', 'I', 'J', 'Q']"
"['B', 'D', 'F', 'J', 'K', 'O', 'P']"
"['B', 'E', 'G', 'L', 'M', 'N', 'O']"
"['C', 'D', 'E', 'F', 'G', 'H', 'K']"
"['D', 'H', 'I', 'J', 'N', 'P', 'Q']"
"['C', 'H', 'I', 'L', 'M', 'N', 'Q']"
"['C', 'H', 'I', 'J', 'K', 'M', 'N']"
"['A', 'B', 'D', 'F', 'G', 'N', 'Q']"
"['C', 'D', 'F', 'H', 'I', 'N', 'P']"
"['A', 'C', 'D', 'J', 'K', 'N', 'O']"
"['B', 'F', 'H', 'I', 'L', 'N', 'P']"
"['B', 'E', 'F', 'H', 'L', 'O', 'P']"
"['A', 'C', 'H', 'I', 'J', 'M', 'O']"
"['A', 'E', 'G', 'J', 'K', 'O', 'P']"
"['A', 'B', 'I', 'L', 'N', 'P', 'Q']"
"['C', 'F', 'G', 'H', 'K', 'O', 'P']"
"['A', 'D', 'E', 'F', 'G', 'K', 'N']"
"['B', 'D', 'K', 'M', 'N', 'O', 'Q']"
"['B', 'C', 'E', 'F', 'G', 'L', 'M']"
"['C', 'E', 'F', 'H', 'J', 'K', 'N']"
"['A', 'C', 'D', 'G', 'I', 'M', 'O']"
"['A', 'D', 'E', 'G', 'K', 'L', 'N']"
"['F', 'G', 'H', 'I', 'M', 'N', 'P']"
"['B', 'D', 'I', 'L', 'M', 'O', 'P']"
"['A', 'B', 'D', 'E', 'F', 'H', 'P']"
"['B', 'C', 'F', 'G', 'I', 'K', 'Q']"
"['D', 'G', 'J', 'K', 'L', 'M', 'O']"
"['A', 'B', 'C', 'E', 'H', 'I', 'J']"
"['B', 'J', 'K', 'L', 'O', 'P', 'Q']"
"['D', 'E', 'I', 'J', 'M', 'N', 'Q']"
"['A', 'D', 'H', 'L', 'N', 'O', 'Q']"
"['B', 'E', 'F', 'G', 'I', 'N', 'Q']"
"['B', 'C', 'D', 'E', 'F', 'N', 'Q']"
"['D', 'F', 'H', 'I', 'L', 'M', 'P']"
"['C', 'E', 'F', 'G', 'K', 'P', 'Q']"
"['B', 'G', 'H', 'I', 'J', 'N', 'Q']"
"['D', 'F', 'J', 'K', 'L', 'M', 'Q']"
"['E', 'I', 'K', 'L', 'N', 'P', 'Q']"
"['B', 'D', 'E', 'H', 'I', 'L', 'N']"
"['D', 'H', 'K', 'N', 'O', 'P', 'Q']"
"['B', 'E', 'G', 'H', 'I', 'L', 'P']"
"['B', 'C', 'D', 'J', 'K', 'L', 'P']"
"['F', 'I', 'L', 'M', 'O', 'P', 'Q']"
"['A', 'B', 'C', 'I', 'M', 'P', 'Q']"
"['A', 'C', 'D', 'F', 'K', 'N', 'P']"
"['B', 'C', 'E', 'F', 'H', 'J', 'P']"
"['A', 'C', 'E', 'G', 'H', 'I', 'J']"
"['B', 'D', 'G', 'M', 'N', 'O', 'Q']"
"['C', 'F', 'H', 'J', 'L', 'M', 'N']"
"['A', 'C', 'G', 'H', 'I', 'M', 'Q']"
"['A', 'B', 'H', 'I', 'K', 'M', 'Q']"
"['C', 'E', 'I', 'J', 'K', 'L', 'M']"
"['C', 'E', 'G', 'I', 'M', 'P', 'Q']"
"['A', 'B', 'E', 'H', 'J', 'L', 'N']"
"['A', 'D', 'G', 'J', 'L', 'P', 'Q']"
"['A', 'B', 'D', 'F', 'I', 'J', 'O']"
"['C', 'F', 'H', 'I', 'L', 'O', 'Q']"
"['B', 'C', 'D', 'I', 'J', 'L', 'P']"
"['B', 'C', 'D', 'I', 'L', 'N', 'O']"
"['A', 'D', 'G', 'H', 'L', 'M', 'O']"
"['D', 'F', 'G', 'I', 'L', 'M', 'P']"
"['B', 'C', 'F', 'G', 'H', 'O', 'Q']"
"['B', 'C', 'E', 'I', 'N', 'P', 'Q']"
"['B', 'C', 'F', 'L', 'N', 'O', 'Q']"
"['C', 'F', 'I', 'K', 'M', 'O', 'Q']"
"['D', 'E', 'F', 'J', 'L', 'M', 'P']"
"['B', 'D', 'E', 'G', 'K', 'P', 'Q']"
"['C', 'F', 'H', 'I', 'K', 'M', 'O']"
"['F', 'G', 'I', 'J', 'K', 'L', 'P']"
"['C', 'E', 'J', 'K', 'N', 'O', 'Q']"
"['A', 'B', 'E', 'H', 'J', 'M', 'Q']"
"['B', 'D', 'J', 'K', 'L', 'M', 'P']"
"['B', 'C', 'D', 'F', 'K', 'M', 'O']"
"['B', 'C', 'D', 'E', 'G', 'J', 'M']"
"['A', 'C', 'E', 'F', 'G', 'I', 'L']"
"['B', 'D', 'H', 'J', 'K', 'N', 'P']"
"['A', 'B', 'F', 'H', 'I', 'N', 'Q']"
"['A', 'D', 'F', 'I', 'K', 'L', 'M']"
"['A', 'C', 'D', 'E', 'F', 'J', 'Q']"
"['C', 'F', 'G', 'H', 'K', 'L', 'N']"
"['C', 'G', 'H', 'I', 'L', 'N', 'P']"
"['B', 'C', 'D', 'F', 'H', 'M', 'Q']"
"['D', 'F', 'H', 'I', 'M', 'N', 'O']"
"['A', 'D', 'I', 'J', 'K', 'L', 'P']"
"['D', 'E', 'F', 'J', 'L', 'M', 'Q']"
"['B', 'F', 'G', 'M', 'N', 'O', 'Q']"
"['C', 'E', 'H', 'K', 'L', 'N', 'Q']"
"['B', 'F', 'G', 'K', 'M', 'N', 'P']"
"['A', 'D', 'G', 'I', 'K', 'M', 'N']"
"['C', 'D', 'F', 'I', 'J', 'K', 'Q']"
"['A', 'E', 'F', 'J', 'M', 'N', 'O']"
"['A', 'C', 'F', 'G', 'I', 'L', 'Q']"
"['B', 'C', 'D', 'G', 'H', 'J', 'P']"
"['A', 'C', 'D', 'E', 'F', 'L', 'O']"
"['B', 'G', 'H', 'K', 'L', 'N', 'Q']"
"['A', 'E', 'F', 'H', 'J', 'M', 'Q']"
"['D', 'G', 'H', 'I', 'L', 'N', 'P']"
"['A', 'B', 'F', 'G', 'H', 'I', 'K']"
"['C', 'E', 'F', 'K', 'N', 'P', 'Q']"
"['D', 'E', 'H', 'L', 'M', 'N', 'Q']"
"['C', 'D', 'E', 'H', 'K', 'M', 'Q']"
"['C', 'E', 'F', 'G', 'L', 'M', 'O']"
"['B', 'G', 'I', 'J', 'O', 'P', 'Q']"
"['D', 'F', 'I', 'J', 'K', 'O', 'Q']"
"['A', 'C', 'D', 'F', 'G', 'I', 'O']"
"['A', 'D', 'E', 'G', 'H', 'I', 'P']"
"['B', 'C', 'G', 'K', 'L', 'N', 'Q']"
"['D', 'F', 'H', 'J', 'K', 'L', 'M']"
"['E', 'G', 'I', 'K', 'M', 'O', 'Q']"
"['A', 'C', 'D', 'E', 'F', 'L', 'M']"
"['B', 'C', 'I', 'M', 'N', 'P', 'Q']"
"['H', 'J', 'K', 'M', 'N', 'O', 'Q']"
"['A', 'B', 'F', 'J', 'K', 'L', 'P']"
"['B', 'F', 'H', 'K', 'M', 'N', 'O']"
"['E', 'F', 'H', 'J', 'L', 'M', 'O']"
"['B', 'C', 'D', 'G', 'K', 'P', 'Q']"
"['F', 'H', 'L', 'N', 'O', 'P', 'Q']"
"['C', 'E', 'G', 'H', 'J', 'M', 'N']"
"['A', 'C', 'L', 'M', 'N', 'O', 'Q']"
"['B', 'D', 'F', 'J', 'K', 'L', 'M']"
"['B', 'E', 'I', 'M', 'O', 'P', 'Q']"
"['A', 'C', 'E', 'J', 'K', 'L', 'O']"
"['A', 'D', 'G', 'H', 'J', 'L', 'N']"
"['A', 'C', 'F', 'I', 'J', 'P', 'Q']"
"['B', 'C', 'D', 'E', 'G', 'H', 'P']"
"['E', 'F', 'G', 'H', 'J', 'L', 'M']"
"['A', 'F', 'H', 'J', 'M', 'P', 'Q']"
"['B', 'D', 'G', 'H', 'J', 'L', 'Q']"
"['D', 'E', 'F', 'H', 'I', 'L', 'Q']"
"['A', 'C', 'D', 'I', 'M', 'O', 'Q']"
"['A', 'F', 'J', 'K', 'L', 'M', 'Q']"
"['A', 'C', 'D', 'L', 'O', 'P', 'Q']"
"['E', 'I', 'K', 'L', 'M', 'N', 'Q']"
"['D', 'E', 'F', 'I', 'M', 'N', 'O']"
"['B', 'C', 'D', 'H', 'I', 'P', 'Q']"
"['D', 'E', 'G', 'N', 'O', 'P', 'Q']"
"['E', 'F', 'H', 'L', 'M', 'N', 'P']"
"['B', 'D', 'F', 'J', 'K', 'N', 'P']"
"['A', 'D', 'E', 'I', 'L', 'N', 'O']"
"['C', 'D', 'E', 'F', 'K', 'L', 'P']"
"['B', 'C', 'E', 'F', 'K', 'P', 'Q']"
"['A', 'D', 'F', 'G', 'I', 'L', 'O']"
"['A', 'E', 'F', 'H', 'J', 'K', 'Q']"
"['A', 'C', 'D', 'G', 'H', 'K', 'M']"
"['B', 'E', 'J', 'L', 'M', 'O', 'P']"
"['C', 'D', 'I', 'J', 'N', 'O', 'P']"
"['A', 'E', 'F', 'J', 'L', 'N', 'P']"
"['B', 'E', 'G', 'L', 'N', 'O', 'P']"
"['A', 'C', 'E', 'F', 'K', 'O', 'Q']"
"['F', 'J', 'K', 'L', 'M', 'O', 'Q']"
"['A', 'B', 'C', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'E', 'H', 'I', 'O', 'Q']"
"['E', 'F', 'J', 'M', 'N', 'O', 'Q']"
"['F', 'G', 'H', 'M', 'N', 'O', 'P']"
"['A', 'D', 'G', 'H', 'J', 'K', 'N']"
"['C', 'D', 'E', 'H', 'L', 'O', 'Q']"
"['B', 'E', 'G', 'J', 'K', 'L', 'N']"
"['D', 'E', 'F', 'G', 'I', 'M', 'Q']"
"['C', 'E', 'H', 'K', 'M', 'P', 'Q']"
"['A', 'B', 'D', 'G', 'H', 'I', 'J']"
"['A', 'E', 'J', 'L', 'N', 'O', 'Q']"
"['A', 'D', 'G', 'H', 'I', 'N', 'Q']"
"['C', 'D', 'E', 'G', 'H', 'K', 'P']"
"['A', 'B', 'F', 'G', 'H', 'J', 'L']"
"['B', 'F', 'L', 'N', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'G', 'J', 'O', 'Q']"
"['B', 'H', 'J', 'L', 'M', 'O', 'Q']"
"['B', 'E', 'F', 'H', 'J', 'O', 'Q']"
"['A', 'C', 'E', 'F', 'G', 'I', 'O']"
"['A', 'B', 'D', 'G', 'H', 'K', 'Q']"
"['E', 'I', 'J', 'M', 'N', 'O', 'Q']"
"['F', 'I', 'J', 'L', 'M', 'O', 'Q']"
"['B', 'E', 'F', 'J', 'M', 'N', 'Q']"
"['C', 'D', 'G', 'H', 'J', 'N', 'P']"
"['C', 'D', 'E', 'F', 'H', 'K', 'P']"
"['A', 'C', 'D', 'E', 'F', 'M', 'O']"
"['A', 'B', 'D', 'E', 'F', 'J', 'M']"
"['D', 'E', 'J', 'K', 'L', 'O', 'P']"
"['B', 'D', 'F', 'K', 'M', 'N', 'P']"
"['D', 'G', 'K', 'L', 'N', 'P', 'Q']"
"['C', 'J', 'K', 'L', 'M', 'O', 'Q']"
"['C', 'D', 'H', 'I', 'K', 'L', 'M']"
"['D', 'F', 'G', 'J', 'K', 'N', 'O']"
"['B', 'C', 'J', 'K', 'M', 'N', 'Q']"
"['B', 'C', 'G', 'L', 'O', 'P', 'Q']"
"['B', 'F', 'H', 'I', 'O', 'P', 'Q']"
"['E', 'J', 'K', 'M', 'N', 'P', 'Q']"
"['F', 'H', 'I', 'L', 'M', 'N', 'O']"
"['B', 'C', 'E', 'I', 'M', 'N', 'P']"
"['D', 'H', 'J', 'L', 'M', 'N', 'Q']"
"['D', 'E', 'F', 'K', 'L', 'O', 'P']"
"['A', 'B', 'F', 'I', 'J', 'O', 'P']"
"['A', 'C', 'D', 'E', 'G', 'N', 'O']"
"['E', 'F', 'H', 'I', 'J', 'L', 'O']"
"['A', 'B', 'F', 'G', 'J', 'L', 'Q']"
"['A', 'D', 'I', 'K', 'L', 'N', 'Q']"
"['A', 'D', 'G', 'I', 'J', 'N', 'O']"
"['A', 'C', 'E', 'G', 'J', 'L', 'O']"
"['E', 'F', 'G', 'I', 'J', 'L', 'M']"
"['A', 'D', 'H', 'I', 'J', 'O', 'Q']"
"['C', 'E', 'G', 'J', 'M', 'O', 'P']"
"['A', 'E', 'F', 'G', 'M', 'O', 'Q']"
"['A', 'D', 'E', 'I', 'L', 'M', 'N']"
"['A', 'B', 'D', 'J', 'K', 'N', 'P']"
"['A', 'B', 'H', 'K', 'L', 'M', 'P']"
"['B', 'E', 'G', 'I', 'O', 'P', 'Q']"
"['A', 'D', 'G', 'H', 'M', 'P', 'Q']"
"['C', 'F', 'J', 'K', 'M', 'P', 'Q']"
"['E', 'G', 'H', 'I', 'J', 'L', 'P']"
"['D', 'G', 'J', 'L', 'M', 'O', 'P']"
"['B', 'D', 'F', 'K', 'L', 'N', 'Q']"
"['B', 'D', 'F', 'L', 'M', 'N', 'P']"
"['E', 'F', 'H', 'J', 'N', 'O', 'P']"
"['A', 'E', 'F', 'I', 'M', 'P', 'Q']"
"['C', 'D', 'F', 'H', 'I', 'O', 'P']"
"['D', 'E', 'I', 'L', 'M', 'N', 'O']"
"['D', 'H', 'J', 'K', 'L', 'N', 'P']"
"['B', 'D', 'F', 'G', 'H', 'J', 'K']"
"['A', 'D', 'E', 'F', 'K', 'L', 'N']"
"['B', 'F', 'K', 'L', 'N', 'O', 'P']"
"['A', 'B', 'H', 'J', 'L', 'M', 'N']"
"['D', 'H', 'J', 'K', 'M', 'N', 'Q']"
"['C', 'E', 'K', 'L', 'M', 'N', 'Q']"
"['A', 'E', 'F', 'K', 'L', 'N', 'P']"
"['B', 'F', 'G', 'I', 'J', 'L', 'N']"
"['B', 'G', 'H', 'M', 'N', 'O', 'P']"
"['A', 'B', 'E', 'G', 'M', 'N', 'P']"
"['C', 'D', 'H', 'I', 'L', 'M', 'Q']"
"['A', 'B', 'D', 'G', 'H', 'K', 'N']"
"['D', 'E', 'G', 'H', 'M', 'N', 'P']"
"['E', 'G', 'H', 'I', 'J', 'K', 'N']"
"['A', 'C', 'E', 'I', 'L', 'P', 'Q']"
"['A', 'B', 'D', 'E', 'G', 'H', 'Q']"
"['B', 'E', 'F', 'J', 'K', 'O', 'Q']"
"['B', 'C', 'D', 'F', 'I', 'O', 'P']"
"['C', 'D', 'F', 'G', 'I', 'M', 'O']"
"['A', 'E', 'F', 'G', 'M', 'O', 'P']"
"['B', 'C', 'G', 'H', 'I', 'J', 'K']"
"['E', 'I', 'J', 'K', 'L', 'O', 'P']"
"['B', 'E', 'K', 'L', 'M', 'N', 'P']"
"['C', 'D', 'J', 'K', 'L', 'M', 'N']"
"['B', 'E', 'G', 'H', 'M', 'N', 'Q']"
"['C', 'D', 'E', 'G', 'H', 'I', 'L']"
"['G', 'J', 'K', 'L', 'N', 'O', 'Q']"
"['B', 'D', 'I', 'J', 'M', 'N', 'Q']"
"['B', 'D', 'F', 'G', 'H', 'O', 'P']"
"['A', 'E', 'F', 'H', 'I', 'J', 'L']"
"['C', 'D', 'H', 'J', 'M', 'N', 'O']"
"['C', 'F', 'H', 'J', 'L', 'N', 'P']"
"['A', 'B', 'D', 'G', 'K', 'L', 'N']"
"['D', 'E', 'F', 'G', 'H', 'L', 'P']"
"['D', 'E', 'F', 'K', 'O', 'P', 'Q']"
"['B', 'D', 'F', 'J', 'N', 'O', 'Q']"
"['B', 'F', 'G', 'H', 'I', 'J', 'P']"
"['B', 'D', 'E', 'H', 'I', 'L', 'P']"
"['A', 'C', 'G', 'I', 'N', 'O', 'P']"
"['B', 'C', 'F', 'H', 'K', 'N', 'Q']"
"['B', 'F', 'I', 'K', 'O', 'P', 'Q']"
"['A', 'D', 'E', 'F', 'L', 'N', 'Q']"
"['F', 'G', 'H', 'J', 'K', 'M', 'N']"
"['D', 'F', 'G', 'L', 'M', 'N', 'O']"
