items
"['B', 'D', 'F', 'I', 'K', 'N']"
"['A', 'C', 'I', 'J', 'N', 'O']"
"['C', 'E', 'F', 'M', 'O', 'P']"
"['C', 'F', 'G', 'J', 'K', 'N']"
"['A', 'B', 'D', 'G', 'L', 'O']"
"['B', 'H', 'J', 'M', 'O', 'Q']"
"['A', 'C', 'E', 'K', 'M', 'P']"
"['E', 'L', 'M', 'N', 'O', 'Q']"
"['D', 'G', 'M', 'N', 'O', 'P']"
"['E', 'F', 'G', 'H', 'J', 'P']"
"['A', 'C', 'G', 'I', 'J', 'P']"
"['D', 'H', 'I', 'J', 'L', 'N']"
"['E', 'F', 'H', 'M', 'N', 'Q']"
"['B', 'E', 'I', 'J', 'L', 'N']"
"['F', 'H', 'I', 'J', 'K', 'L']"
"['B', 'D', 'G', 'I', 'K', 'O']"
"['A', 'D', 'E', 'G', 'L', 'M']"
"['D', 'H', 'I', 'K', 'M', 'Q']"
"['B', 'D', 'F', 'H', 'M', 'N']"
"['B', 'D', 'G', 'I', 'K', 'P']"
"['B', 'D', 'I', 'K', 'N', 'O']"
"['G', 'H', 'K', 'N', 'P', 'Q']"
"['C', 'I', 'K', 'M', 'O', 'Q']"
"['A', 'F', 'H', 'K', 'N', 'Q']"
"['B', 'D', 'F', 'J', 'K', 'N']"
"['A', 'D', 'G', 'L', 'M', 'Q']"
"['B', 'F', 'G', 'J', 'M', 'Q']"
"['B', 'G', 'H', 'K', 'M', 'Q']"
"['B', 'D', 'E', 'F', 'O', 'Q']"
"['C', 'D', 'G', 'H', 'L', 'N']"
"['B', 'E', 'I', 'K', 'L', 'M']"
"['B', 'E', 'I', 'L', 'M', 'N']"
"['B', 'C', 'E', 'F', 'I', 'N']"
"['B', 'D', 'I', 'M', 'N', 'P']"
"['C', 'F', 'J', 'M', 'P', 'Q']"
"['A', 'B', 'H', 'L', 'M', 'Q']"
"['B', 'C', 'D', 'I', 'N', 'Q']"
"['A', 'B', 'D', 'E', 'F', 'P']"
"['D', 'K', 'L', 'M', 'P', 'Q']"
"['B', 'C', 'E', 'F', 'M', 'O']"
"['A', 'B', 'D', 'F', 'G', 'M']"
"['C', 'G', 'J', 'N', 'P', 'Q']"
"['E', 'K', 'M', 'O', 'P', 'Q']"
"['E', 'K', 'L', 'N', 'O', 'Q']"
"['A', 'I', 'J', 'K', 'L', 'O']"
"['D', 'H', 'I', 'K', 'P', 'Q']"
"['D', 'I', 'J', 'L', 'M', 'P']"
"['C', 'E', 'I', 'J', 'K', 'M']"
"['A', 'E', 'H', 'K', 'L', 'P']"
"['E', 'F', 'H', 'K', 'L', 'Q']"
"['A', 'B', 'F', 'J', 'K', 'O']"
"['D', 'H', 'I', 'K', 'L', 'P']"
"['C', 'D', 'I', 'J', 'O', 'P']"
"['A', 'I', 'J', 'L', 'O', 'Q']"
"['A', 'E', 'H', 'J', 'K', 'O']"
"['D', 'E', 'F', 'G', 'H', 'N']"
"['C', 'F', 'H', 'I', 'K', 'Q']"
"['A', 'C', 'E', 'F', 'G', 'I']"
"['D', 'E', 'I', 'M', 'P', 'Q']"
"['E', 'I', 'L', 'N', 'O', 'Q']"
"['B', 'D', 'F', 'H', 'M', 'Q']"
"['A', 'E', 'F', 'J', 'L', 'M']"
"['B', 'C', 'G', 'H', 'M', 'O']"
"['C', 'E', 'H', 'J', 'K', 'P']"
"['B', 'H', 'I', 'J', 'K', 'P']"
"['C', 'E', 'G', 'H', 'I', 'L']"
"['B', 'D', 'F', 'G', 'K', 'P']"
"['A', 'B', 'F', 'G', 'K', 'Q']"
"['D', 'G', 'J', 'L', 'O', 'Q']"
"['H', 'I', 'J', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'F', 'H', 'L']"
"['C', 'D', 'E', 'G', 'H', 'P']"
"['A', 'D', 'F', 'G', 'J', 'P']"
"['D', 'E', 'F', 'G', 'P', 'Q']"
"['B', 'H', 'K', 'L', 'N', 'O']"
"['B', 'G', 'H', 'L', 'P', 'Q']"
"['A', 'D', 'F', 'M', 'P', 'Q']"
"['G', 'H', 'J', 'K', 'N', 'P']"
"['A', 'B', 'E', 'K', 'L', 'N']"
"['E', 'F', 'I', 'J', 'N', 'P']"
"['A', 'F', 'H', 'J', 'M', 'P']"
"['B', 'E', 'G', 'K', 'L', 'N']"
"['C', 'E', 'J', 'K', 'L', 'P']"
"['B', 'F', 'H', 'L', 'M', 'O']"
"['B', 'G', 'H', 'I', 'J', 'P']"
"['A', 'E', 'G', 'H', 'J', 'O']"
"['B', 'D', 'H', 'K', 'P', 'Q']"
"['A', 'B', 'I', 'K', 'O', 'Q']"
"['D', 'E', 'F', 'O', 'P', 'Q']"
"['B', 'C', 'G', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'G', 'N', 'O']"
"['H', 'I', 'J', 'L', 'M', 'O']"
"['B', 'F', 'I', 'J', 'N', 'Q']"
"['B', 'E', 'H', 'M', 'P', 'Q']"
"['E', 'I', 'K', 'L', 'O', 'P']"
"['D', 'E', 'I', 'L', 'O', 'P']"
"['B', 'C', 'D', 'F', 'M', 'N']"
"['A', 'B', 'E', 'F', 'G', 'N']"
"['A', 'D', 'H', 'I', 'K', 'O']"
"['D', 'E', 'F', 'G', 'H', 'I']"
"['B', 'C', 'I', 'K', 'M', 'N']"
"['D', 'G', 'H', 'K', 'P', 'Q']"
"['H', 'J', 'L', 'M', 'N', 'Q']"
"['F', 'M', 'N', 'O', 'P', 'Q']"
"['C', 'F', 'G', 'K', 'L', 'Q']"
"['B', 'C', 'E', 'L', 'P', 'Q']"
"['A', 'D', 'E', 'H', 'M', 'O']"
"['B', 'F', 'H', 'M', 'N', 'O']"
"['D', 'E', 'I', 'L', 'O', 'Q']"
"['A', 'G', 'H', 'I', 'N', 'Q']"
"['C', 'E', 'F', 'I', 'K', 'O']"
"['A', 'B', 'I', 'J', 'L', 'P']"
"['F', 'H', 'M', 'N', 'O', 'P']"
"['C', 'I', 'J', 'L', 'M', 'O']"
"['B', 'C', 'D', 'F', 'J', 'L']"
"['A', 'B', 'L', 'M', 'N', 'Q']"
"['C', 'D', 'E', 'G', 'H', 'K']"
"['A', 'F', 'G', 'J', 'K', 'Q']"
"['A', 'B', 'E', 'H', 'K', 'O']"
"['D', 'E', 'G', 'H', 'K', 'M']"
"['C', 'D', 'G', 'M', 'P', 'Q']"
"['B', 'C', 'D', 'H', 'I', 'N']"
"['C', 'E', 'H', 'K', 'L', 'Q']"
"['A', 'B', 'M', 'N', 'O', 'Q']"
"['A', 'B', 'F', 'H', 'J', 'L']"
"['A', 'F', 'J', 'N', 'O', 'P']"
"['E', 'G', 'H', 'J', 'P', 'Q']"
"['E', 'F', 'G', 'J', 'K', 'M']"
"['C', 'E', 'G', 'K', 'M', 'P']"
"['D', 'F', 'J', 'L', 'O', 'P']"
"['B', 'E', 'I', 'M', 'O', 'Q']"
"['A', 'G', 'K', 'O', 'P', 'Q']"
"['A', 'E', 'G', 'H', 'K', 'M']"
"['B', 'D', 'F', 'G', 'J', 'M']"
"['A', 'F', 'I', 'J', 'O', 'Q']"
"['A', 'F', 'I', 'K', 'M', 'N']"
"['A', 'E', 'F', 'G', 'M', 'P']"
"['C', 'E', 'H', 'M', 'P', 'Q']"
"['A', 'E', 'F', 'H', 'K', 'Q']"
"['A', 'F', 'H', 'K', 'L', 'N']"
"['A', 'C', 'I', 'L', 'M', 'P']"
"['A', 'B', 'D', 'H', 'L', 'N']"
"['A', 'B', 'C', 'I', 'L', 'M']"
"['G', 'H', 'L', 'O', 'P', 'Q']"
"['D', 'E', 'H', 'O', 'P', 'Q']"
"['A', 'D', 'E', 'H', 'L', 'P']"
"['E', 'H', 'L', 'N', 'P', 'Q']"
"['B', 'F', 'G', 'J', 'K', 'L']"
"['A', 'B', 'C', 'H', 'K', 'N']"
"['A', 'C', 'H', 'J', 'O', 'Q']"
"['C', 'E', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'H', 'I', 'K', 'P']"
"['A', 'B', 'C', 'H', 'L', 'N']"
"['E', 'G', 'J', 'K', 'M', 'P']"
"['A', 'D', 'H', 'J', 'L', 'P']"
"['A', 'B', 'G', 'M', 'N', 'P']"
"['B', 'E', 'J', 'K', 'M', 'O']"
"['A', 'D', 'G', 'K', 'L', 'O']"
"['A', 'B', 'F', 'G', 'I', 'N']"
"['F', 'J', 'K', 'L', 'N', 'P']"
"['A', 'B', 'D', 'E', 'I', 'O']"
"['A', 'E', 'H', 'N', 'O', 'Q']"
"['C', 'I', 'K', 'M', 'N', 'Q']"
"['A', 'C', 'E', 'F', 'H', 'N']"
"['B', 'D', 'F', 'J', 'K', 'P']"
"['A', 'D', 'H', 'J', 'M', 'N']"
"['A', 'C', 'F', 'G', 'N', 'O']"
"['A', 'D', 'E', 'H', 'N', 'P']"
"['A', 'B', 'G', 'J', 'O', 'P']"
"['B', 'G', 'I', 'L', 'P', 'Q']"
"['B', 'E', 'G', 'J', 'M', 'N']"
"['A', 'F', 'H', 'J', 'K', 'L']"
"['C', 'D', 'E', 'F', 'J', 'Q']"
"['B', 'F', 'G', 'H', 'I', 'K']"
"['A', 'B', 'D', 'L', 'N', 'P']"
"['A', 'D', 'F', 'I', 'M', 'O']"
"['C', 'D', 'F', 'G', 'P', 'Q']"
"['A', 'F', 'H', 'L', 'M', 'N']"
"['F', 'G', 'J', 'K', 'N', 'Q']"
"['A', 'C', 'I', 'J', 'P', 'Q']"
"['A', 'D', 'E', 'M', 'N', 'P']"
"['D', 'F', 'G', 'H', 'I', 'N']"
"['D', 'E', 'F', 'G', 'L', 'Q']"
"['E', 'F', 'H', 'I', 'N', 'P']"
"['A', 'B', 'F', 'I', 'L', 'M']"
"['B', 'E', 'G', 'M', 'P', 'Q']"
"['A', 'H', 'I', 'J', 'K', 'L']"
"['E', 'H', 'I', 'K', 'P', 'Q']"
"['B', 'E', 'F', 'J', 'M', 'P']"
"['D', 'F', 'G', 'H', 'M', 'P']"
"['B', 'E', 'F', 'H', 'J', 'K']"
"['A', 'B', 'H', 'I', 'L', 'O']"
"['E', 'H', 'L', 'M', 'N', 'Q']"
"['D', 'E', 'F', 'H', 'K', 'M']"
"['E', 'J', 'K', 'O', 'P', 'Q']"
"['B', 'D', 'E', 'H', 'K', 'Q']"
"['A', 'B', 'J', 'K', 'L', 'O']"
"['A', 'C', 'E', 'K', 'N', 'O']"
"['C', 'D', 'F', 'J', 'L', 'N']"
"['C', 'F', 'G', 'L', 'O', 'Q']"
"['B', 'C', 'G', 'K', 'M', 'Q']"
"['A', 'C', 'D', 'F', 'I', 'L']"
"['C', 'E', 'G', 'K', 'N', 'Q']"
"['A', 'B', 'H', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'J', 'K', 'P']"
"['A', 'E', 'L', 'M', 'O', 'P']"
"['B', 'C', 'E', 'J', 'K', 'L']"
"['A', 'I', 'L', 'N', 'O', 'P']"
"['B', 'E', 'G', 'I', 'M', 'N']"
"['B', 'G', 'H', 'I', 'P', 'Q']"
"['A', 'B', 'C', 'F', 'G', 'L']"
"['A', 'D', 'F', 'N', 'O', 'P']"
"['D', 'G', 'I', 'K', 'M', 'Q']"
"['A', 'C', 'E', 'I', 'K', 'P']"
"['A', 'D', 'F', 'L', 'N', 'P']"
"['B', 'G', 'I', 'O', 'P', 'Q']"
"['C', 'F', 'H', 'I', 'J', 'O']"
"['A', 'B', 'G', 'I', 'N', 'Q']"
"['E', 'J', 'K', 'N', 'O', 'Q']"
"['F', 'H', 'J', 'L', 'M', 'O']"
"['C', 'D', 'F', 'L', 'N', 'Q']"
"['H', 'J', 'N', 'O', 'P', 'Q']"
"['C', 'E', 'I', 'N', 'O', 'P']"
"['B', 'G', 'H', 'L', 'M', 'N']"
"['D', 'G', 'I', 'K', 'M', 'P']"
"['D', 'G', 'H', 'K', 'M', 'N']"
"['A', 'B', 'C', 'D', 'N', 'Q']"
"['F', 'H', 'K', 'M', 'O', 'P']"
"['E', 'F', 'H', 'I', 'J', 'P']"
"['C', 'G', 'H', 'I', 'J', 'K']"
"['D', 'F', 'G', 'L', 'M', 'P']"
"['E', 'H', 'I', 'J', 'L', 'N']"
"['A', 'D', 'H', 'I', 'J', 'N']"
"['A', 'B', 'C', 'H', 'N', 'O']"
"['A', 'C', 'E', 'H', 'J', 'O']"
"['A', 'C', 'F', 'L', 'N', 'P']"
"['B', 'C', 'E', 'H', 'I', 'K']"
"['C', 'F', 'I', 'J', 'P', 'Q']"
"['B', 'G', 'L', 'N', 'O', 'Q']"
"['A', 'C', 'E', 'F', 'G', 'J']"
"['D', 'E', 'G', 'I', 'L', 'P']"
"['B', 'C', 'E', 'I', 'L', 'Q']"
"['B', 'D', 'J', 'K', 'M', 'O']"
"['B', 'F', 'G', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'F', 'J', 'Q']"
"['E', 'J', 'K', 'L', 'N', 'Q']"
"['C', 'H', 'K', 'L', 'N', 'Q']"
"['D', 'E', 'F', 'J', 'M', 'N']"
"['B', 'G', 'M', 'O', 'P', 'Q']"
"['B', 'D', 'E', 'K', 'L', 'M']"
"['A', 'D', 'G', 'J', 'L', 'Q']"
"['I', 'J', 'M', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'I', 'M', 'O']"
"['H', 'I', 'M', 'O', 'P', 'Q']"
"['E', 'I', 'J', 'M', 'O', 'P']"
"['A', 'E', 'F', 'H', 'J', 'Q']"
"['A', 'D', 'L', 'M', 'N', 'P']"
"['D', 'G', 'I', 'N', 'O', 'P']"
"['A', 'D', 'E', 'J', 'L', 'Q']"
"['A', 'E', 'F', 'I', 'L', 'N']"
"['F', 'K', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'E', 'G', 'M', 'O']"
"['B', 'D', 'F', 'I', 'M', 'O']"
"['A', 'E', 'F', 'H', 'J', 'K']"
"['A', 'D', 'F', 'K', 'O', 'P']"
"['A', 'B', 'D', 'K', 'L', 'Q']"
"['A', 'D', 'N', 'O', 'P', 'Q']"
"['A', 'C', 'F', 'H', 'L', 'P']"
"['A', 'C', 'D', 'I', 'O', 'P']"
"['C', 'F', 'H', 'I', 'L', 'M']"
"['A', 'J', 'K', 'L', 'M', 'P']"
"['D', 'F', 'M', 'O', 'P', 'Q']"
"['A', 'D', 'G', 'L', 'O', 'P']"
"['C', 'H', 'I', 'M', 'P', 'Q']"
"['A', 'G', 'K', 'L', 'M', 'N']"
"['B', 'C', 'G', 'H', 'M', 'P']"
"['A', 'G', 'J', 'M', 'O', 'P']"
"['A', 'D', 'F', 'I', 'L', 'P']"
"['A', 'F', 'H', 'J', 'M', 'Q']"
"['B', 'C', 'F', 'I', 'O', 'P']"
"['B', 'D', 'E', 'L', 'M', 'O']"
"['A', 'H', 'I', 'L', 'M', 'O']"
"['F', 'H', 'I', 'K', 'O', 'P']"
"['D', 'E', 'K', 'N', 'P', 'Q']"
"['G', 'J', 'K', 'L', 'N', 'Q']"
"['A', 'D', 'G', 'H', 'K', 'L']"
"['F', 'G', 'H', 'K', 'L', 'P']"
"['B', 'C', 'E', 'F', 'J', 'P']"
"['H', 'I', 'K', 'M', 'O', 'P']"
"['D', 'H', 'K', 'L', 'O', 'P']"
"['B', 'C', 'F', 'H', 'L', 'Q']"
"['A', 'D', 'E', 'F', 'H', 'P']"
"['C', 'D', 'I', 'J', 'M', 'Q']"
"['E', 'G', 'H', 'J', 'K', 'P']"
"['E', 'F', 'H', 'M', 'N', 'P']"
"['B', 'E', 'G', 'I', 'K', 'Q']"
"['C', 'D', 'H', 'K', 'P', 'Q']"
"['D', 'F', 'G', 'L', 'M', 'Q']"
"['C', 'G', 'I', 'M', 'O', 'Q']"
"['A', 'E', 'J', 'L', 'M', 'Q']"
"['A', 'C', 'H', 'M', 'P', 'Q']"
"['B', 'C', 'D', 'H', 'I', 'L']"
"['E', 'F', 'H', 'I', 'M', 'Q']"
"['C', 'F', 'H', 'L', 'P', 'Q']"
"['A', 'B', 'E', 'K', 'P', 'Q']"
"['B', 'E', 'H', 'I', 'L', 'P']"
"['D', 'G', 'K', 'L', 'N', 'Q']"
"['B', 'D', 'I', 'K', 'N', 'Q']"
"['C', 'F', 'G', 'H', 'K', 'O']"
"['C', 'D', 'F', 'G', 'M', 'O']"
"['F', 'J', 'K', 'M', 'O', 'Q']"
"['E', 'H', 'J', 'L', 'N', 'Q']"
"['A', 'D', 'E', 'F', 'K', 'Q']"
"['D', 'H', 'I', 'J', 'M', 'O']"
"['A', 'D', 'F', 'I', 'O', 'Q']"
"['C', 'D', 'E', 'H', 'L', 'P']"
"['B', 'E', 'G', 'I', 'O', 'Q']"
"['B', 'D', 'H', 'J', 'K', 'O']"
"['A', 'C', 'D', 'E', 'N', 'P']"
"['J', 'K', 'M', 'O', 'P', 'Q']"
"['H', 'K', 'L', 'N', 'P', 'Q']"
"['C', 'D', 'G', 'J', 'M', 'P']"
"['A', 'D', 'I', 'K', 'M', 'Q']"
"['B', 'C', 'E', 'J', 'M', 'P']"
"['A', 'E', 'F', 'K', 'N', 'O']"
"['A', 'C', 'G', 'H', 'L', 'M']"
"['C', 'D', 'E', 'K', 'M', 'O']"
"['B', 'I', 'L', 'M', 'O', 'P']"
"['D', 'H', 'I', 'J', 'K', 'N']"
"['C', 'F', 'H', 'I', 'M', 'O']"
"['B', 'D', 'E', 'H', 'N', 'Q']"
"['I', 'J', 'K', 'L', 'N', 'P']"
"['D', 'F', 'H', 'L', 'M', 'P']"
"['C', 'F', 'K', 'L', 'M', 'Q']"
"['C', 'F', 'H', 'I', 'N', 'O']"
"['A', 'B', 'J', 'K', 'O', 'Q']"
"['A', 'B', 'E', 'F', 'K', 'O']"
"['A', 'B', 'C', 'D', 'L', 'P']"
"['B', 'E', 'F', 'L', 'O', 'P']"
"['H', 'J', 'L', 'N', 'P', 'Q']"
"['A', 'B', 'E', 'G', 'I', 'M']"
"['E', 'G', 'J', 'N', 'O', 'P']"
"['C', 'E', 'K', 'L', 'M', 'O']"
"['B', 'C', 'E', 'I', 'M', 'Q']"
"['A', 'B', 'C', 'F', 'L', 'M']"
"['A', 'G', 'L', 'N', 'O', 'Q']"
"['A', 'D', 'E', 'L', 'O', 'Q']"
"['A', 'D', 'G', 'H', 'I', 'K']"
"['A', 'C', 'D', 'E', 'L', 'O']"
"['C', 'E', 'G', 'H', 'L', 'M']"
"['A', 'B', 'E', 'J', 'N', 'P']"
"['B', 'G', 'H', 'I', 'L', 'N']"
"['D', 'G', 'I', 'L', 'M', 'P']"
"['B', 'C', 'E', 'G', 'O', 'Q']"
"['I', 'J', 'K', 'M', 'N', 'P']"
"['B', 'D', 'H', 'J', 'K', 'Q']"
"['C', 'I', 'J', 'L', 'O', 'Q']"
"['B', 'D', 'F', 'K', 'O', 'Q']"
"['B', 'D', 'G', 'H', 'I', 'N']"
"['A', 'G', 'I', 'N', 'O', 'P']"
"['A', 'B', 'E', 'F', 'G', 'J']"
"['C', 'F', 'G', 'K', 'L', 'O']"
"['A', 'E', 'H', 'J', 'N', 'P']"
"['C', 'D', 'E', 'H', 'J', 'P']"
"['B', 'D', 'E', 'H', 'N', 'O']"
"['C', 'D', 'G', 'I', 'K', 'P']"
"['C', 'H', 'J', 'L', 'M', 'P']"
"['C', 'E', 'H', 'I', 'L', 'M']"
"['C', 'D', 'H', 'L', 'N', 'O']"
"['A', 'H', 'J', 'K', 'M', 'P']"
"['A', 'C', 'E', 'H', 'I', 'K']"
"['E', 'G', 'K', 'L', 'M', 'Q']"
"['A', 'C', 'D', 'G', 'I', 'N']"
"['B', 'E', 'G', 'H', 'M', 'P']"
"['D', 'E', 'I', 'M', 'O', 'Q']"
"['B', 'F', 'H', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'F', 'L', 'Q']"
"['B', 'F', 'J', 'L', 'P', 'Q']"
"['A', 'B', 'C', 'H', 'M', 'O']"
"['D', 'G', 'K', 'L', 'M', 'N']"
"['C', 'E', 'G', 'H', 'J', 'M']"
"['C', 'F', 'G', 'J', 'M', 'O']"
"['A', 'C', 'H', 'M', 'N', 'P']"
"['E', 'G', 'H', 'J', 'N', 'O']"
"['A', 'C', 'E', 'K', 'N', 'Q']"
"['C', 'H', 'I', 'J', 'N', 'P']"
"['C', 'H', 'I', 'J', 'L', 'O']"
"['C', 'D', 'E', 'J', 'L', 'Q']"
"['B', 'C', 'G', 'K', 'M', 'N']"
"['A', 'D', 'H', 'I', 'L', 'P']"
"['G', 'K', 'M', 'N', 'O', 'P']"
"['A', 'H', 'I', 'K', 'N', 'P']"
"['D', 'F', 'G', 'I', 'O', 'Q']"
"['G', 'H', 'I', 'J', 'M', 'O']"
"['A', 'B', 'D', 'G', 'I', 'J']"
"['A', 'I', 'J', 'M', 'P', 'Q']"
"['A', 'D', 'G', 'H', 'L', 'Q']"
"['C', 'D', 'F', 'G', 'L', 'Q']"
"['A', 'C', 'G', 'L', 'N', 'P']"
"['D', 'H', 'I', 'J', 'K', 'L']"
"['A', 'J', 'K', 'M', 'N', 'P']"
"['B', 'E', 'G', 'K', 'L', 'Q']"
"['C', 'E', 'G', 'H', 'K', 'N']"
"['C', 'G', 'K', 'L', 'M', 'P']"
"['A', 'D', 'G', 'H', 'I', 'O']"
"['D', 'E', 'F', 'L', 'N', 'Q']"
"['A', 'B', 'F', 'H', 'K', 'L']"
"['A', 'E', 'I', 'K', 'M', 'Q']"
"['G', 'J', 'K', 'O', 'P', 'Q']"
"['A', 'C', 'E', 'I', 'M', 'N']"
"['A', 'C', 'J', 'L', 'N', 'O']"
"['B', 'F', 'I', 'J', 'N', 'P']"
"['B', 'G', 'H', 'N', 'O', 'Q']"
"['B', 'H', 'I', 'L', 'N', 'O']"
"['A', 'D', 'E', 'G', 'L', 'Q']"
"['B', 'D', 'G', 'H', 'L', 'P']"
"['A', 'C', 'G', 'J', 'K', 'P']"
"['C', 'G', 'J', 'K', 'L', 'Q']"
"['F', 'G', 'J', 'L', 'N', 'Q']"
"['B', 'C', 'I', 'J', 'K', 'P']"
"['A', 'C', 'J', 'K', 'L', 'P']"
"['D', 'E', 'L', 'N', 'O', 'Q']"
"['D', 'J', 'K', 'L', 'P', 'Q']"
"['C', 'E', 'F', 'H', 'J', 'L']"
"['B', 'E', 'F', 'G', 'H', 'L']"
"['A', 'E', 'G', 'J', 'O', 'Q']"
"['E', 'G', 'H', 'L', 'M', 'P']"
"['A', 'C', 'E', 'F', 'H', 'J']"
"['A', 'F', 'I', 'M', 'N', 'Q']"
"['A', 'B', 'C', 'E', 'L', 'M']"
"['C', 'F', 'G', 'H', 'N', 'P']"
"['C', 'D', 'H', 'J', 'K', 'N']"
"['C', 'E', 'F', 'G', 'H', 'N']"
"['C', 'D', 'E', 'J', 'M', 'O']"
"['D', 'G', 'J', 'L', 'M', 'Q']"
"['C', 'D', 'H', 'J', 'N', 'O']"
"['B', 'D', 'E', 'J', 'K', 'M']"
"['E', 'I', 'K', 'N', 'O', 'P']"
"['D', 'G', 'K', 'L', 'N', 'P']"
"['A', 'B', 'E', 'G', 'K', 'O']"
"['B', 'F', 'G', 'K', 'L', 'P']"
"['C', 'E', 'L', 'M', 'O', 'P']"
"['A', 'F', 'H', 'L', 'M', 'Q']"
"['A', 'B', 'G', 'J', 'K', 'Q']"
"['B', 'C', 'H', 'M', 'O', 'Q']"
"['C', 'E', 'I', 'J', 'M', 'O']"
"['A', 'F', 'J', 'K', 'M', 'O']"
"['B', 'C', 'J', 'M', 'O', 'Q']"
"['D', 'H', 'J', 'L', 'N', 'Q']"
"['C', 'E', 'J', 'N', 'P', 'Q']"
"['B', 'E', 'H', 'I', 'J', 'K']"
"['B', 'D', 'H', 'J', 'P', 'Q']"
"['A', 'B', 'C', 'I', 'K', 'N']"
"['B', 'C', 'G', 'H', 'K', 'N']"
"['A', 'F', 'G', 'I', 'L', 'Q']"
"['A', 'D', 'F', 'J', 'M', 'P']"
"['C', 'D', 'J', 'K', 'M', 'O']"
"['A', 'B', 'F', 'H', 'K', 'O']"
"['D', 'I', 'K', 'L', 'P', 'Q']"
"['A', 'C', 'F', 'L', 'N', 'Q']"
"['A', 'B', 'G', 'H', 'L', 'P']"
"['A', 'D', 'E', 'G', 'I', 'O']"
"['A', 'C', 'D', 'E', 'J', 'L']"
"['B', 'C', 'F', 'G', 'J', 'K']"
"['A', 'E', 'J', 'K', 'L', 'O']"
"['C', 'H', 'J', 'L', 'P', 'Q']"
"['C', 'G', 'H', 'J', 'L', 'M']"
"['B', 'G', 'H', 'L', 'N', 'P']"
"['C', 'D', 'E', 'F', 'K', 'O']"
"['B', 'D', 'G', 'I', 'M', 'N']"
"['A', 'C', 'F', 'G', 'J', 'O']"
"['G', 'H', 'I', 'K', 'N', 'O']"
"['A', 'B', 'D', 'I', 'J', 'P']"
"['B', 'G', 'I', 'J', 'M', 'P']"
"['B', 'C', 'H', 'J', 'L', 'N']"
"['I', 'J', 'L', 'O', 'P', 'Q']"
"['B', 'C', 'E', 'F', 'M', 'Q']"
"['C', 'E', 'I', 'O', 'P', 'Q']"
"['A', 'C', 'E', 'G', 'L', 'Q']"
"['B', 'E', 'I', 'J', 'L', 'P']"
"['C', 'D', 'E', 'H', 'M', 'N']"
"['F', 'G', 'I', 'M', 'N', 'P']"
"['B', 'C', 'F', 'K', 'N', 'O']"
"['A', 'B', 'H', 'K', 'L', 'M']"
"['H', 'J', 'K', 'L', 'N', 'Q']"
"['C', 'G', 'H', 'L', 'O', 'P']"
"['A', 'E', 'H', 'L', 'N', 'Q']"
"['A', 'C', 'D', 'H', 'N', 'P']"
"['B', 'C', 'E', 'L', 'M', 'Q']"
"['B', 'E', 'J', 'K', 'N', 'Q']"
"['A', 'B', 'C', 'H', 'M', 'N']"
"['H', 'L', 'M', 'N', 'O', 'Q']"
"['C', 'D', 'H', 'M', 'N', 'P']"
"['D', 'E', 'G', 'H', 'M', 'O']"
"['E', 'F', 'I', 'J', 'L', 'Q']"
"['B', 'F', 'G', 'J', 'O', 'P']"
"['C', 'D', 'F', 'G', 'I', 'J']"
"['B', 'E', 'F', 'G', 'I', 'J']"
"['A', 'G', 'I', 'J', 'K', 'Q']"
"['C', 'D', 'E', 'K', 'P', 'Q']"
"['A', 'D', 'E', 'J', 'N', 'P']"
"['C', 'I', 'L', 'M', 'O', 'Q']"
"['A', 'B', 'D', 'I', 'L', 'M']"
"['C', 'F', 'K', 'L', 'O', 'Q']"
"['H', 'J', 'K', 'L', 'M', 'P']"
"['D', 'G', 'H', 'I', 'K', 'N']"
"['C', 'E', 'G', 'L', 'M', 'P']"
"['A', 'F', 'I', 'J', 'K', 'L']"
"['A', 'B', 'D', 'I', 'K', 'P']"
"['B', 'E', 'F', 'N', 'O', 'P']"
"['A', 'C', 'J', 'N', 'O', 'P']"
"['A', 'C', 'E', 'I', 'K', 'Q']"
"['C', 'E', 'H', 'J', 'L', 'O']"
"['E', 'G', 'H', 'I', 'J', 'O']"
"['B', 'H', 'I', 'K', 'N', 'P']"
"['A', 'H', 'J', 'M', 'P', 'Q']"
"['H', 'J', 'K', 'L', 'O', 'P']"
"['A', 'B', 'C', 'D', 'E', 'F']"
"['C', 'D', 'G', 'N', 'O', 'Q']"
"['B', 'F', 'H', 'K', 'N', 'O']"
"['A', 'D', 'F', 'G', 'L', 'Q']"
"['A', 'B', 'J', 'L', 'P', 'Q']"
"['A', 'C', 'L', 'M', 'N', 'P']"
"['B', 'C', 'I', 'L', 'P', 'Q']"
"['A', 'B', 'F', 'I', 'K', 'O']"
"['B', 'D', 'I', 'N', 'P', 'Q']"
"['B', 'F', 'G', 'H', 'J', 'Q']"
"['B', 'C', 'E', 'J', 'L', 'O']"
"['A', 'B', 'C', 'G', 'I', 'L']"
"['A', 'E', 'G', 'I', 'J', 'O']"
