items
"['B', 'L', 'P', 'Q']"
"['A', 'D', 'L', 'M']"
"['E', 'H', 'J', 'N']"
"['G', 'I', 'N', 'P']"
"['C', 'E', 'F', 'O']"
"['A', 'F', 'J', 'L']"
"['B', 'E', 'J', 'M']"
"['A', 'B', 'H', 'I']"
"['E', 'I', 'N', 'P']"
"['A', 'C', 'F', 'N']"
"['E', 'F', 'L', 'Q']"
"['G', 'H', 'O', 'P']"
"['A', 'D', 'G', 'M']"
"['B', 'G', 'I', 'Q']"
"['A', 'D', 'F', 'P']"
"['C', 'E', 'G', 'O']"
"['J', 'K', 'N', 'P']"
"['I', 'M', 'P', 'Q']"
"['B', 'G', 'L', 'Q']"
"['C', 'G', 'H', 'Q']"
"['H', 'M', 'O', 'Q']"
"['A', 'D', 'E', 'O']"
"['E', 'H', 'J', 'O']"
"['D', 'E', 'I', 'J']"
"['E', 'F', 'I', 'N']"
"['I', 'K', 'N', 'Q']"
"['C', 'D', 'G', 'K']"
"['C', 'E', 'J', 'O']"
"['D', 'I', 'K', 'N']"
"['C', 'H', 'K', 'M']"
"['B', 'D', 'L', 'P']"
"['C', 'F', 'H', 'K']"
"['K', 'M', 'P', 'Q']"
"['A', 'H', 'M', 'P']"
"['A', 'C', 'I', 'O']"
"['D', 'J', 'N', 'Q']"
"['J', 'L', 'N', 'Q']"
"['E', 'J', 'N', 'Q']"
"['A', 'K', 'L', 'Q']"
"['F', 'K', 'L', 'M']"
"['E', 'I', 'J', 'O']"
"['B', 'E', 'L', 'N']"
"['A', 'B', 'H', 'O']"
"['E', 'G', 'J', 'O']"
"['C', 'K', 'M', 'O']"
"['E', 'K', 'O', 'Q']"
"['B', 'H', 'J', 'L']"
"['F', 'I', 'K', 'M']"
"['C', 'H', 'M', 'Q']"
"['C', 'H', 'L', 'M']"
"['C', 'D', 'I', 'J']"
"['B', 'C', 'F', 'K']"
"['A', 'C', 'N', 'P']"
"['B', 'E', 'M', 'O']"
"['G', 'L', 'N', 'O']"
"['A', 'M', 'O', 'Q']"
"['A', 'B', 'M', 'Q']"
"['G', 'J', 'N', 'Q']"
"['H', 'O', 'P', 'Q']"
"['C', 'E', 'F', 'L']"
"['E', 'G', 'N', 'P']"
"['C', 'G', 'L', 'P']"
"['C', 'D', 'L', 'N']"
"['D', 'I', 'J', 'N']"
"['B', 'F', 'G', 'P']"
"['A', 'F', 'H', 'P']"
"['C', 'E', 'H', 'Q']"
"['E', 'H', 'N', 'Q']"
"['C', 'D', 'E', 'J']"
"['B', 'C', 'E', 'Q']"
"['A', 'B', 'M', 'O']"
"['I', 'J', 'K', 'O']"
"['G', 'I', 'M', 'P']"
"['F', 'I', 'J', 'K']"
"['B', 'C', 'D', 'E']"
"['E', 'I', 'J', 'L']"
"['B', 'C', 'K', 'Q']"
"['B', 'D', 'K', 'O']"
"['E', 'F', 'O', 'Q']"
"['A', 'C', 'E', 'L']"
"['A', 'J', 'K', 'Q']"
"['A', 'I', 'J', 'N']"
"['A', 'B', 'L', 'Q']"
"['D', 'N', 'P', 'Q']"
"['C', 'I', 'L', 'M']"
"['A', 'D', 'J', 'L']"
"['H', 'I', 'J', 'O']"
"['E', 'F', 'N', 'Q']"
"['A', 'G', 'H', 'M']"
"['A', 'C', 'F', 'Q']"
"['D', 'I', 'N', 'Q']"
"['D', 'F', 'H', 'I']"
"['D', 'F', 'P', 'Q']"
"['I', 'K', 'L', 'O']"
"['A', 'K', 'L', 'P']"
"['C', 'J', 'L', 'M']"
"['B', 'F', 'I', 'P']"
"['F', 'K', 'N', 'P']"
"['A', 'C', 'G', 'M']"
"['G', 'I', 'L', 'P']"
"['A', 'J', 'N', 'P']"
"['C', 'F', 'H', 'I']"
"['C', 'G', 'P', 'Q']"
"['C', 'J', 'K', 'Q']"
"['A', 'K', 'N', 'O']"
"['B', 'C', 'F', 'H']"
"['K', 'N', 'O', 'P']"
"['C', 'F', 'M', 'O']"
"['E', 'H', 'M', 'Q']"
"['G', 'I', 'J', 'K']"
"['A', 'B', 'C', 'Q']"
"['I', 'K', 'L', 'M']"
"['A', 'F', 'I', 'P']"
"['A', 'I', 'K', 'O']"
"['A', 'C', 'E', 'K']"
"['A', 'G', 'I', 'K']"
"['H', 'J', 'O', 'Q']"
"['A', 'G', 'M', 'O']"
"['D', 'L', 'M', 'P']"
"['B', 'G', 'K', 'Q']"
"['A', 'B', 'F', 'N']"
"['H', 'K', 'M', 'Q']"
"['C', 'E', 'G', 'Q']"
"['D', 'H', 'J', 'M']"
"['A', 'J', 'P', 'Q']"
"['D', 'I', 'K', 'O']"
"['F', 'I', 'M', 'P']"
"['F', 'H', 'I', 'Q']"
"['H', 'J', 'L', 'Q']"
"['A', 'H', 'K', 'Q']"
"['B', 'G', 'K', 'M']"
"['B', 'H', 'K', 'M']"
"['B', 'N', 'O', 'Q']"
"['B', 'E', 'O', 'Q']"
"['K', 'L', 'M', 'Q']"
"['A', 'K', 'M', 'P']"
"['C', 'G', 'H', 'N']"
"['B', 'G', 'N', 'O']"
"['D', 'K', 'M', 'O']"
"['B', 'F', 'K', 'O']"
"['B', 'C', 'E', 'G']"
"['G', 'I', 'P', 'Q']"
"['F', 'H', 'J', 'Q']"
"['B', 'H', 'I', 'N']"
"['C', 'E', 'F', 'G']"
"['E', 'F', 'M', 'O']"
"['C', 'D', 'H', 'O']"
"['C', 'D', 'N', 'Q']"
"['B', 'E', 'L', 'Q']"
"['D', 'E', 'G', 'H']"
"['D', 'H', 'I', 'L']"
"['E', 'F', 'N', 'P']"
"['I', 'K', 'L', 'P']"
"['C', 'E', 'G', 'N']"
"['D', 'E', 'G', 'K']"
"['D', 'E', 'H', 'K']"
"['D', 'G', 'H', 'O']"
"['D', 'L', 'O', 'Q']"
"['C', 'F', 'K', 'Q']"
"['B', 'K', 'N', 'P']"
"['F', 'G', 'M', 'O']"
"['I', 'J', 'M', 'O']"
"['E', 'G', 'N', 'Q']"
"['E', 'F', 'G', 'N']"
"['E', 'F', 'K', 'O']"
"['B', 'E', 'I', 'L']"
"['H', 'J', 'N', 'O']"
"['A', 'D', 'I', 'L']"
"['I', 'K', 'M', 'Q']"
"['A', 'B', 'C', 'O']"
"['I', 'J', 'L', 'N']"
"['D', 'G', 'K', 'N']"
"['F', 'G', 'I', 'L']"
"['D', 'K', 'L', 'Q']"
"['B', 'L', 'O', 'P']"
"['E', 'F', 'K', 'Q']"
"['B', 'I', 'J', 'N']"
"['I', 'O', 'P', 'Q']"
"['A', 'E', 'L', 'Q']"
"['C', 'G', 'I', 'N']"
"['D', 'E', 'G', 'P']"
"['E', 'G', 'I', 'P']"
"['A', 'D', 'L', 'O']"
"['B', 'F', 'G', 'L']"
"['B', 'H', 'K', 'Q']"
"['B', 'I', 'O', 'P']"
"['J', 'K', 'L', 'O']"
"['D', 'M', 'N', 'P']"
"['H', 'I', 'J', 'N']"
"['A', 'J', 'L', 'P']"
"['A', 'J', 'L', 'Q']"
"['B', 'G', 'I', 'M']"
"['A', 'D', 'L', 'P']"
"['F', 'I', 'L', 'Q']"
"['A', 'C', 'I', 'M']"
"['A', 'C', 'J', 'K']"
"['D', 'F', 'L', 'N']"
"['C', 'I', 'J', 'L']"
"['H', 'L', 'M', 'Q']"
"['D', 'I', 'J', 'M']"
"['D', 'H', 'K', 'M']"
"['C', 'G', 'N', 'Q']"
"['C', 'I', 'M', 'P']"
"['D', 'K', 'M', 'N']"
"['B', 'C', 'E', 'M']"
"['B', 'C', 'J', 'M']"
"['C', 'F', 'L', 'N']"
"['A', 'E', 'O', 'Q']"
"['B', 'D', 'J', 'N']"
"['C', 'H', 'J', 'N']"
"['B', 'L', 'N', 'Q']"
"['H', 'K', 'N', 'Q']"
"['H', 'I', 'L', 'Q']"
"['H', 'J', 'M', 'O']"
"['F', 'K', 'L', 'Q']"
"['C', 'L', 'N', 'Q']"
"['A', 'C', 'J', 'Q']"
"['C', 'G', 'H', 'K']"
"['C', 'D', 'M', 'Q']"
"['A', 'D', 'P', 'Q']"
"['G', 'I', 'N', 'Q']"
"['C', 'I', 'L', 'N']"
"['E', 'L', 'P', 'Q']"
"['H', 'J', 'L', 'M']"
"['D', 'E', 'K', 'M']"
"['A', 'H', 'M', 'Q']"
"['C', 'O', 'P', 'Q']"
"['A', 'C', 'K', 'P']"
"['E', 'F', 'G', 'L']"
"['B', 'G', 'J', 'N']"
"['B', 'H', 'L', 'M']"
"['C', 'M', 'N', 'O']"
"['B', 'E', 'G', 'Q']"
"['A', 'F', 'G', 'Q']"
"['B', 'G', 'H', 'P']"
"['B', 'C', 'D', 'F']"
"['G', 'K', 'L', 'M']"
"['A', 'E', 'O', 'P']"
"['B', 'E', 'K', 'O']"
"['F', 'G', 'H', 'L']"
"['A', 'D', 'H', 'M']"
"['F', 'G', 'H', 'Q']"
"['E', 'H', 'N', 'P']"
"['B', 'J', 'L', 'N']"
"['D', 'F', 'I', 'L']"
"['A', 'G', 'I', 'O']"
"['G', 'O', 'P', 'Q']"
"['D', 'F', 'L', 'P']"
"['B', 'L', 'N', 'P']"
"['B', 'D', 'L', 'O']"
"['D', 'K', 'P', 'Q']"
"['B', 'D', 'G', 'K']"
"['B', 'D', 'J', 'K']"
"['C', 'H', 'J', 'O']"
"['A', 'B', 'K', 'Q']"
"['A', 'M', 'P', 'Q']"
"['A', 'J', 'N', 'Q']"
"['B', 'I', 'L', 'Q']"
"['C', 'F', 'L', 'P']"
"['E', 'L', 'M', 'P']"
"['B', 'D', 'F', 'G']"
"['B', 'D', 'E', 'H']"
"['E', 'F', 'H', 'Q']"
"['A', 'H', 'L', 'P']"
"['K', 'N', 'O', 'Q']"
"['A', 'B', 'G', 'J']"
"['H', 'J', 'O', 'P']"
"['A', 'B', 'F', 'M']"
"['A', 'C', 'J', 'L']"
"['A', 'F', 'H', 'N']"
"['H', 'I', 'J', 'K']"
"['E', 'H', 'K', 'O']"
"['E', 'F', 'H', 'L']"
"['A', 'B', 'H', 'Q']"
"['E', 'H', 'J', 'L']"
"['C', 'D', 'E', 'Q']"
"['E', 'G', 'K', 'O']"
"['G', 'H', 'I', 'K']"
"['A', 'C', 'D', 'G']"
"['B', 'G', 'I', 'N']"
"['A', 'C', 'J', 'P']"
"['A', 'D', 'O', 'P']"
"['A', 'E', 'F', 'H']"
"['D', 'I', 'K', 'P']"
"['C', 'F', 'G', 'Q']"
"['A', 'B', 'C', 'H']"
"['G', 'I', 'J', 'M']"
"['C', 'K', 'L', 'Q']"
"['C', 'I', 'J', 'Q']"
"['C', 'G', 'K', 'P']"
"['A', 'C', 'G', 'P']"
"['C', 'F', 'K', 'M']"
"['A', 'E', 'I', 'M']"
"['D', 'E', 'H', 'O']"
"['G', 'H', 'L', 'N']"
"['D', 'F', 'O', 'P']"
"['C', 'G', 'N', 'P']"
"['C', 'E', 'G', 'I']"
"['E', 'F', 'M', 'Q']"
"['D', 'H', 'K', 'L']"
"['C', 'F', 'I', 'L']"
"['E', 'F', 'H', 'K']"
"['D', 'E', 'F', 'L']"
"['A', 'I', 'K', 'N']"
"['A', 'D', 'E', 'M']"
"['B', 'D', 'M', 'O']"
"['A', 'I', 'L', 'Q']"
"['A', 'D', 'I', 'O']"
"['C', 'D', 'L', 'O']"
"['D', 'G', 'O', 'Q']"
"['C', 'G', 'N', 'O']"
"['B', 'J', 'O', 'P']"
"['C', 'D', 'G', 'J']"
"['C', 'D', 'E', 'O']"
"['C', 'I', 'O', 'P']"
"['A', 'B', 'F', 'H']"
"['A', 'D', 'E', 'K']"
"['E', 'G', 'H', 'Q']"
"['F', 'I', 'N', 'O']"
"['C', 'K', 'O', 'P']"
"['H', 'K', 'M', 'O']"
"['G', 'I', 'O', 'Q']"
"['C', 'D', 'E', 'L']"
"['D', 'G', 'J', 'N']"
"['D', 'G', 'H', 'M']"
"['B', 'M', 'N', 'O']"
"['H', 'I', 'P', 'Q']"
"['A', 'E', 'L', 'O']"
"['J', 'L', 'N', 'P']"
"['B', 'C', 'G', 'H']"
"['G', 'I', 'J', 'L']"
"['A', 'F', 'O', 'P']"
"['C', 'H', 'K', 'L']"
"['D', 'E', 'I', 'P']"
"['D', 'J', 'N', 'O']"
"['D', 'K', 'L', 'O']"
"['F', 'I', 'L', 'N']"
"['B', 'D', 'L', 'M']"
"['A', 'E', 'G', 'O']"
"['C', 'E', 'L', 'Q']"
"['C', 'E', 'J', 'M']"
"['B', 'E', 'H', 'K']"
"['B', 'F', 'K', 'N']"
"['A', 'B', 'H', 'P']"
"['B', 'E', 'I', 'P']"
"['D', 'L', 'M', 'Q']"
"['E', 'F', 'N', 'O']"
"['C', 'M', 'P', 'Q']"
"['G', 'I', 'M', 'Q']"
"['B', 'I', 'J', 'P']"
"['D', 'F', 'L', 'Q']"
"['A', 'I', 'M', 'P']"
"['B', 'F', 'H', 'I']"
"['B', 'C', 'L', 'O']"
"['G', 'I', 'M', 'O']"
"['A', 'G', 'L', 'Q']"
"['D', 'F', 'K', 'O']"
"['A', 'C', 'G', 'I']"
"['D', 'G', 'J', 'P']"
"['C', 'D', 'N', 'O']"
"['F', 'K', 'M', 'O']"
"['D', 'F', 'J', 'O']"
"['G', 'H', 'I', 'Q']"
"['A', 'G', 'J', 'K']"
"['B', 'C', 'H', 'J']"
"['L', 'N', 'P', 'Q']"
"['B', 'C', 'D', 'O']"
"['A', 'I', 'N', 'Q']"
"['E', 'G', 'J', 'L']"
"['B', 'D', 'K', 'Q']"
"['G', 'K', 'O', 'P']"
"['F', 'G', 'M', 'P']"
"['A', 'D', 'F', 'L']"
"['A', 'I', 'K', 'Q']"
"['A', 'E', 'F', 'G']"
"['B', 'D', 'K', 'N']"
"['D', 'H', 'J', 'K']"
"['F', 'H', 'J', 'L']"
"['B', 'F', 'H', 'Q']"
"['E', 'I', 'J', 'K']"
"['E', 'K', 'N', 'Q']"
"['B', 'J', 'M', 'N']"
"['E', 'K', 'M', 'P']"
"['C', 'G', 'J', 'P']"
"['B', 'E', 'K', 'Q']"
"['A', 'E', 'I', 'K']"
"['B', 'C', 'F', 'O']"
"['L', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'M']"
"['A', 'B', 'H', 'N']"
"['F', 'L', 'M', 'P']"
"['G', 'H', 'I', 'L']"
"['A', 'B', 'H', 'L']"
"['E', 'G', 'K', 'N']"
"['A', 'H', 'N', 'Q']"
"['A', 'B', 'D', 'K']"
"['A', 'K', 'M', 'N']"
"['A', 'D', 'E', 'H']"
"['D', 'H', 'M', 'O']"
"['J', 'K', 'N', 'O']"
"['B', 'E', 'N', 'O']"
"['F', 'K', 'L', 'P']"
"['D', 'G', 'J', 'Q']"
"['A', 'I', 'J', 'M']"
"['F', 'K', 'P', 'Q']"
"['C', 'E', 'J', 'L']"
"['C', 'K', 'N', 'P']"
"['A', 'B', 'O', 'P']"
"['K', 'O', 'P', 'Q']"
"['B', 'E', 'H', 'P']"
"['D', 'E', 'F', 'J']"
"['C', 'H', 'N', 'P']"
"['L', 'M', 'O', 'P']"
"['I', 'L', 'N', 'O']"
"['B', 'E', 'I', 'O']"
"['C', 'I', 'L', 'P']"
"['D', 'E', 'H', 'M']"
"['C', 'D', 'E', 'I']"
"['B', 'C', 'J', 'P']"
"['H', 'K', 'O', 'P']"
"['B', 'F', 'G', 'I']"
"['A', 'C', 'H', 'M']"
"['B', 'L', 'M', 'N']"
"['K', 'L', 'N', 'Q']"
"['C', 'H', 'M', 'N']"
"['B', 'G', 'J', 'M']"
"['A', 'G', 'P', 'Q']"
"['D', 'K', 'L', 'P']"
"['C', 'F', 'G', 'L']"
"['B', 'E', 'L', 'P']"
"['C', 'D', 'F', 'J']"
"['A', 'G', 'H', 'K']"
"['A', 'E', 'G', 'K']"
"['B', 'O', 'P', 'Q']"
"['B', 'F', 'N', 'O']"
"['A', 'F', 'H', 'L']"
"['H', 'L', 'O', 'P']"
"['B', 'I', 'J', 'Q']"
"['D', 'F', 'G', 'L']"
"['H', 'J', 'K', 'Q']"
"['D', 'J', 'K', 'P']"
"['D', 'G', 'J', 'K']"
"['C', 'D', 'J', 'N']"
"['A', 'G', 'N', 'O']"
"['B', 'I', 'K', 'N']"
"['A', 'E', 'H', 'P']"
"['F', 'H', 'J', 'K']"
"['F', 'K', 'M', 'Q']"
"['B', 'I', 'O', 'Q']"
"['G', 'H', 'J', 'P']"
"['I', 'K', 'O', 'P']"
"['B', 'F', 'M', 'P']"
"['A', 'E', 'M', 'N']"
"['C', 'E', 'F', 'N']"
"['E', 'H', 'J', 'Q']"
"['C', 'D', 'K', 'M']"
"['B', 'E', 'I', 'K']"
"['F', 'G', 'L', 'M']"
"['B', 'K', 'L', 'M']"
"['B', 'H', 'I', 'J']"
"['E', 'M', 'N', 'O']"
"['A', 'E', 'K', 'P']"
"['A', 'B', 'I', 'P']"
"['B', 'E', 'F', 'J']"
"['E', 'G', 'H', 'P']"
"['B', 'C', 'I', 'J']"
"['B', 'D', 'F', 'P']"
"['F', 'H', 'I', 'O']"
"['F', 'G', 'N', 'Q']"
"['H', 'J', 'K', 'P']"
"['B', 'C', 'F', 'J']"
"['A', 'G', 'I', 'L']"
"['C', 'D', 'H', 'J']"
"['B', 'K', 'P', 'Q']"
"['B', 'I', 'M', 'O']"
"['B', 'E', 'M', 'P']"
"['B', 'E', 'K', 'L']"
"['G', 'H', 'M', 'N']"
"['C', 'F', 'G', 'M']"
"['H', 'N', 'O', 'Q']"
"['C', 'G', 'K', 'M']"
"['C', 'N', 'O', 'Q']"
"['C', 'E', 'H', 'M']"
"['B', 'G', 'M', 'P']"
"['C', 'I', 'K', 'N']"
"['C', 'L', 'O', 'Q']"
"['E', 'I', 'J', 'M']"
"['E', 'G', 'K', 'M']"
"['D', 'H', 'O', 'P']"
"['B', 'D', 'E', 'Q']"
"['G', 'K', 'L', 'P']"
"['A', 'F', 'G', 'P']"
"['G', 'H', 'I', 'J']"
"['C', 'D', 'K', 'L']"
"['C', 'F', 'I', 'K']"
"['B', 'M', 'P', 'Q']"
"['H', 'I', 'L', 'N']"
"['G', 'H', 'I', 'P']"
"['C', 'H', 'K', 'O']"
"['E', 'G', 'N', 'O']"
"['H', 'I', 'K', 'Q']"
"['F', 'G', 'L', 'O']"
"['A', 'H', 'J', 'Q']"
"['D', 'G', 'P', 'Q']"
"['C', 'I', 'J', 'M']"
"['A', 'H', 'J', 'P']"
"['A', 'D', 'O', 'Q']"
"['B', 'C', 'N', 'P']"
"['B', 'D', 'J', 'O']"
"['C', 'E', 'O', 'Q']"
"['D', 'I', 'K', 'L']"
"['C', 'H', 'P', 'Q']"
"['D', 'G', 'L', 'N']"
"['B', 'C', 'D', 'J']"
"['E', 'I', 'L', 'N']"
"['B', 'H', 'K', 'N']"
"['B', 'D', 'H', 'N']"
"['F', 'H', 'M', 'P']"
"['F', 'G', 'I', 'M']"
"['C', 'G', 'I', 'L']"
"['B', 'C', 'D', 'Q']"
"['C', 'E', 'K', 'M']"
"['B', 'C', 'K', 'L']"
"['A', 'B', 'F', 'P']"
"['C', 'E', 'G', 'M']"
"['A', 'C', 'F', 'O']"
"['A', 'B', 'E', 'L']"
"['F', 'K', 'M', 'N']"
"['C', 'I', 'J', 'O']"
"['E', 'I', 'K', 'O']"
"['A', 'B', 'O', 'Q']"
"['C', 'G', 'I', 'P']"
"['B', 'F', 'I', 'M']"
"['C', 'E', 'I', 'P']"
"['F', 'I', 'L', 'M']"
"['A', 'F', 'L', 'P']"
"['D', 'E', 'J', 'K']"
"['A', 'B', 'L', 'O']"
"['A', 'G', 'H', 'O']"
"['C', 'H', 'L', 'O']"
"['F', 'G', 'H', 'M']"
"['B', 'I', 'K', 'Q']"
"['A', 'G', 'I', 'Q']"
"['F', 'H', 'I', 'N']"
"['B', 'G', 'I', 'P']"
"['A', 'B', 'I', 'M']"
"['C', 'M', 'O', 'Q']"
"['C', 'G', 'J', 'O']"
"['B', 'D', 'L', 'Q']"
"['F', 'J', 'L', 'O']"
"['C', 'F', 'M', 'Q']"
"['F', 'G', 'L', 'Q']"
"['B', 'H', 'M', 'P']"
"['H', 'I', 'K', 'O']"
"['D', 'E', 'I', 'M']"
"['G', 'I', 'K', 'O']"
"['G', 'H', 'M', 'O']"
"['A', 'D', 'G', 'O']"
"['A', 'E', 'I', 'O']"
"['C', 'E', 'L', 'O']"
"['D', 'F', 'K', 'M']"
"['I', 'J', 'N', 'Q']"
"['C', 'E', 'F', 'K']"
"['A', 'B', 'K', 'M']"
"['D', 'J', 'L', 'N']"
"['J', 'K', 'L', 'N']"
"['B', 'C', 'J', 'O']"
"['F', 'G', 'J', 'O']"
"['C', 'H', 'L', 'P']"
"['D', 'E', 'H', 'L']"
"['B', 'J', 'K', 'O']"
"['D', 'E', 'J', 'P']"
"['E', 'F', 'K', 'P']"
"['K', 'M', 'O', 'P']"
"['A', 'D', 'H', 'I']"
"['I', 'J', 'N', 'P']"
"['A', 'H', 'K', 'M']"
"['A', 'G', 'J', 'O']"
"['E', 'F', 'I', 'K']"
"['B', 'F', 'H', 'J']"
"['B', 'C', 'M', 'P']"
"['E', 'J', 'M', 'P']"
"['D', 'F', 'G', 'N']"
"['D', 'F', 'G', 'P']"
"['A', 'J', 'K', 'P']"
"['B', 'D', 'L', 'N']"
"['F', 'J', 'M', 'O']"
"['D', 'I', 'N', 'O']"
"['A', 'D', 'F', 'N']"
"['E', 'G', 'I', 'J']"
"['G', 'J', 'O', 'P']"
"['C', 'E', 'M', 'Q']"
"['D', 'G', 'H', 'I']"
"['B', 'C', 'E', 'O']"
"['C', 'D', 'J', 'O']"
"['G', 'K', 'L', 'N']"
"['B', 'E', 'M', 'N']"
"['C', 'D', 'E', 'N']"
"['A', 'E', 'K', 'L']"
"['B', 'C', 'J', 'N']"
"['B', 'F', 'M', 'N']"
"['A', 'H', 'L', 'Q']"
"['D', 'H', 'M', 'P']"
"['C', 'D', 'I', 'L']"
"['F', 'I', 'K', 'L']"
"['D', 'K', 'O', 'Q']"
"['G', 'H', 'J', 'L']"
"['F', 'G', 'O', 'Q']"
"['C', 'D', 'E', 'M']"
"['F', 'L', 'P', 'Q']"
"['C', 'E', 'L', 'N']"
"['J', 'N', 'O', 'Q']"
"['B', 'H', 'L', 'P']"
"['G', 'I', 'J', 'O']"
"['D', 'I', 'J', 'L']"
"['A', 'D', 'H', 'J']"
"['E', 'K', 'L', 'O']"
"['C', 'D', 'E', 'F']"
"['B', 'D', 'I', 'N']"
"['B', 'F', 'K', 'P']"
"['A', 'E', 'H', 'O']"
"['B', 'K', 'L', 'N']"
"['B', 'E', 'G', 'I']"
"['I', 'M', 'O', 'P']"
"['B', 'F', 'J', 'Q']"
"['A', 'E', 'J', 'P']"
"['A', 'E', 'I', 'Q']"
"['A', 'C', 'I', 'N']"
"['A', 'E', 'N', 'O']"
"['G', 'I', 'N', 'O']"
"['C', 'F', 'M', 'N']"
"['I', 'J', 'P', 'Q']"
"['C', 'E', 'F', 'M']"
"['K', 'M', 'N', 'P']"
"['A', 'F', 'I', 'O']"
"['D', 'L', 'N', 'P']"
"['A', 'D', 'E', 'N']"
"['H', 'I', 'M', 'O']"
"['A', 'I', 'J', 'O']"
"['A', 'B', 'E', 'G']"
"['B', 'C', 'J', 'Q']"
"['D', 'H', 'K', 'Q']"
"['D', 'E', 'F', 'I']"
"['E', 'H', 'I', 'M']"
"['C', 'E', 'H', 'P']"
"['I', 'L', 'N', 'P']"
"['A', 'D', 'N', 'P']"
"['C', 'L', 'N', 'O']"
"['C', 'F', 'P', 'Q']"
"['D', 'F', 'M', 'Q']"
"['B', 'D', 'G', 'M']"
"['A', 'K', 'L', 'O']"
"['A', 'F', 'G', 'M']"
"['B', 'C', 'K', 'O']"
"['B', 'D', 'E', 'F']"
"['J', 'K', 'L', 'P']"
"['A', 'C', 'K', 'L']"
"['C', 'D', 'I', 'N']"
"['A', 'F', 'M', 'O']"
"['A', 'D', 'K', 'P']"
"['I', 'J', 'K', 'L']"
"['A', 'E', 'F', 'N']"
"['C', 'F', 'K', 'L']"
"['C', 'G', 'K', 'Q']"
"['G', 'J', 'K', 'M']"
"['A', 'D', 'K', 'N']"
"['B', 'F', 'H', 'P']"
"['D', 'F', 'K', 'P']"
"['A', 'D', 'G', 'K']"
"['H', 'I', 'M', 'P']"
"['A', 'F', 'H', 'M']"
"['C', 'D', 'F', 'L']"
"['D', 'E', 'N', 'Q']"
"['D', 'F', 'J', 'Q']"
"['E', 'G', 'J', 'K']"
"['D', 'K', 'N', 'P']"
"['C', 'E', 'G', 'H']"
"['A', 'E', 'G', 'I']"
"['A', 'C', 'M', 'P']"
"['A', 'K', 'L', 'M']"
"['B', 'K', 'O', 'P']"
"['B', 'G', 'H', 'Q']"
"['D', 'H', 'I', 'Q']"
"['E', 'G', 'H', 'I']"
"['G', 'I', 'L', 'M']"
"['B', 'E', 'F', 'O']"
"['A', 'D', 'E', 'L']"
"['A', 'G', 'I', 'J']"
"['A', 'C', 'F', 'L']"
"['B', 'J', 'L', 'P']"
"['F', 'H', 'M', 'Q']"
"['A', 'F', 'I', 'Q']"
"['I', 'J', 'N', 'O']"
"['B', 'C', 'G', 'L']"
"['C', 'I', 'M', 'Q']"
"['F', 'J', 'M', 'Q']"
"['C', 'I', 'J', 'P']"
"['B', 'E', 'P', 'Q']"
"['B', 'I', 'N', 'P']"
"['C', 'K', 'P', 'Q']"
"['B', 'D', 'K', 'M']"
"['K', 'M', 'O', 'Q']"
"['B', 'J', 'K', 'Q']"
"['F', 'G', 'H', 'N']"
"['B', 'C', 'L', 'M']"
"['A', 'C', 'E', 'Q']"
"['G', 'I', 'K', 'P']"
"['D', 'I', 'K', 'M']"
"['D', 'F', 'H', 'Q']"
"['F', 'G', 'M', 'N']"
"['B', 'K', 'N', 'O']"
"['I', 'J', 'O', 'P']"
"['B', 'I', 'L', 'O']"
"['D', 'J', 'L', 'Q']"
"['F', 'G', 'N', 'O']"
"['E', 'F', 'G', 'M']"
"['D', 'F', 'G', 'J']"
"['C', 'M', 'N', 'P']"
"['E', 'O', 'P', 'Q']"
"['E', 'F', 'H', 'M']"
"['I', 'J', 'L', 'O']"
"['A', 'C', 'G', 'K']"
"['D', 'E', 'N', 'P']"
"['B', 'D', 'F', 'K']"
"['A', 'D', 'E', 'Q']"
"['C', 'D', 'G', 'O']"
"['H', 'I', 'L', 'O']"
"['C', 'D', 'H', 'I']"
"['A', 'G', 'M', 'N']"
"['I', 'J', 'K', 'P']"
"['D', 'F', 'N', 'P']"
"['A', 'G', 'J', 'Q']"
"['A', 'E', 'J', 'K']"
"['G', 'M', 'O', 'Q']"
"['A', 'F', 'J', 'K']"
"['E', 'F', 'O', 'P']"
"['B', 'I', 'J', 'M']"
"['D', 'E', 'G', 'J']"
"['H', 'L', 'M', 'O']"
"['C', 'I', 'J', 'N']"
"['B', 'D', 'H', 'O']"
"['J', 'M', 'N', 'P']"
"['C', 'H', 'N', 'Q']"
"['F', 'H', 'M', 'O']"
"['A', 'K', 'M', 'Q']"
"['B', 'C', 'E', 'P']"
"['G', 'M', 'N', 'Q']"
"['B', 'F', 'J', 'M']"
"['A', 'C', 'L', 'N']"
"['A', 'E', 'M', 'O']"
"['C', 'L', 'O', 'P']"
"['E', 'G', 'J', 'Q']"
"['G', 'H', 'K', 'O']"
"['D', 'H', 'I', 'P']"
"['A', 'I', 'J', 'L']"
"['C', 'D', 'L', 'Q']"
"['B', 'E', 'F', 'K']"
"['F', 'I', 'L', 'O']"
"['G', 'H', 'I', 'O']"
"['H', 'I', 'N', 'O']"
"['B', 'C', 'J', 'L']"
"['C', 'E', 'J', 'N']"
"['A', 'D', 'I', 'P']"
"['D', 'J', 'K', 'N']"
"['B', 'C', 'N', 'O']"
"['G', 'J', 'M', 'P']"
"['B', 'E', 'F', 'Q']"
