items
"['C', 'E', 'H', 'I', 'K']"
"['C', 'H', 'I', 'L', 'Q']"
"['A', 'B', 'C', 'H', 'L']"
"['C', 'E', 'F', 'H', 'Q']"
"['D', 'F', 'I', 'K', 'L']"
"['B', 'D', 'F', 'G', 'M']"
"['D', 'E', 'G', 'L', 'O']"
"['C', 'E', 'F', 'I', 'Q']"
"['F', 'L', 'M', 'O', 'P']"
"['G', 'K', 'O', 'P', 'Q']"
"['A', 'B', 'C', 'H', 'I']"
"['A', 'G', 'I', 'P', 'Q']"
"['B', 'C', 'F', 'J', 'K']"
"['B', 'F', 'G', 'H', 'L']"
"['E', 'J', 'L', 'O', 'Q']"
"['B', 'G', 'I', 'N', 'P']"
"['E', 'I', 'L', 'M', 'P']"
"['A', 'E', 'M', 'P', 'Q']"
"['G', 'I', 'J', 'M', 'Q']"
"['C', 'E', 'H', 'P', 'Q']"
"['A', 'C', 'H', 'J', 'O']"
"['B', 'E', 'K', 'N', 'Q']"
"['A', 'B', 'D', 'E', 'F']"
"['B', 'D', 'E', 'I', 'Q']"
"['A', 'B', 'E', 'M', 'O']"
"['A', 'G', 'H', 'M', 'O']"
"['C', 'D', 'E', 'P', 'Q']"
"['C', 'J', 'L', 'M', 'P']"
"['C', 'E', 'H', 'N', 'Q']"
"['F', 'G', 'K', 'P', 'Q']"
"['D', 'F', 'G', 'L', 'Q']"
"['A', 'C', 'H', 'K', 'M']"
"['A', 'C', 'H', 'L', 'M']"
"['E', 'G', 'I', 'J', 'Q']"
"['B', 'G', 'J', 'N', 'Q']"
"['B', 'E', 'L', 'M', 'O']"
"['A', 'B', 'G', 'K', 'P']"
"['E', 'H', 'I', 'J', 'Q']"
"['B', 'C', 'F', 'K', 'P']"
"['E', 'F', 'G', 'K', 'L']"
"['B', 'D', 'L', 'M', 'O']"
"['C', 'D', 'H', 'J', 'Q']"
"['B', 'C', 'F', 'H', 'K']"
"['D', 'E', 'F', 'O', 'Q']"
"['C', 'J', 'K', 'P', 'Q']"
"['B', 'E', 'F', 'L', 'N']"
"['A', 'B', 'I', 'M', 'O']"
"['F', 'J', 'L', 'O', 'P']"
"['E', 'I', 'L', 'P', 'Q']"
"['A', 'B', 'F', 'I', 'N']"
"['C', 'E', 'F', 'L', 'O']"
"['E', 'K', 'L', 'P', 'Q']"
"['D', 'F', 'J', 'M', 'O']"
"['A', 'D', 'E', 'M', 'P']"
"['A', 'F', 'G', 'J', 'P']"
"['A', 'B', 'M', 'O', 'Q']"
"['C', 'D', 'E', 'F', 'H']"
"['D', 'E', 'J', 'L', 'P']"
"['C', 'H', 'L', 'N', 'Q']"
"['F', 'H', 'K', 'N', 'O']"
"['A', 'E', 'H', 'K', 'P']"
"['B', 'F', 'L', 'M', 'O']"
"['A', 'B', 'E', 'I', 'J']"
"['C', 'E', 'L', 'O', 'Q']"
"['B', 'C', 'D', 'G', 'Q']"
"['A', 'B', 'J', 'O', 'Q']"
"['D', 'I', 'J', 'O', 'P']"
"['B', 'E', 'K', 'O', 'P']"
"['B', 'C', 'E', 'K', 'L']"
"['A', 'B', 'D', 'I', 'N']"
"['B', 'C', 'J', 'O', 'P']"
"['B', 'C', 'D', 'H', 'I']"
"['E', 'F', 'H', 'K', 'Q']"
"['A', 'G', 'I', 'L', 'Q']"
"['A', 'C', 'L', 'N', 'O']"
"['A', 'F', 'N', 'O', 'Q']"
"['B', 'J', 'K', 'M', 'Q']"
"['A', 'H', 'I', 'J', 'K']"
"['G', 'I', 'L', 'M', 'Q']"
"['A', 'B', 'E', 'J', 'Q']"
"['A', 'G', 'H', 'K', 'O']"
"['D', 'E', 'F', 'I', 'J']"
"['A', 'F', 'G', 'J', 'N']"
"['A', 'B', 'E', 'G', 'N']"
"['G', 'H', 'J', 'K', 'N']"
"['A', 'B', 'C', 'M', 'N']"
"['E', 'H', 'I', 'M', 'P']"
"['E', 'G', 'I', 'L', 'M']"
"['A', 'G', 'H', 'J', 'L']"
"['B', 'F', 'N', 'O', 'Q']"
"['G', 'I', 'J', 'M', 'P']"
"['D', 'K', 'L', 'O', 'Q']"
"['E', 'F', 'H', 'I', 'N']"
"['B', 'C', 'E', 'I', 'K']"
"['B', 'F', 'I', 'J', 'P']"
"['E', 'F', 'G', 'I', 'O']"
"['F', 'J', 'M', 'O', 'P']"
"['D', 'E', 'F', 'L', 'O']"
"['A', 'C', 'F', 'J', 'M']"
"['A', 'D', 'K', 'M', 'Q']"
"['B', 'C', 'F', 'J', 'Q']"
"['C', 'G', 'J', 'N', 'Q']"
"['B', 'H', 'L', 'O', 'Q']"
"['G', 'I', 'L', 'N', 'O']"
"['B', 'E', 'F', 'I', 'M']"
"['C', 'I', 'N', 'P', 'Q']"
"['B', 'C', 'E', 'F', 'L']"
"['B', 'J', 'M', 'O', 'Q']"
"['E', 'G', 'H', 'M', 'P']"
"['F', 'H', 'L', 'M', 'P']"
"['B', 'E', 'H', 'M', 'Q']"
"['F', 'H', 'J', 'K', 'N']"
"['D', 'E', 'M', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'Q']"
"['C', 'D', 'H', 'K', 'O']"
"['B', 'D', 'E', 'J', 'K']"
"['G', 'H', 'J', 'K', 'M']"
"['C', 'K', 'L', 'N', 'O']"
"['A', 'G', 'K', 'O', 'Q']"
"['C', 'D', 'F', 'J', 'M']"
"['H', 'I', 'J', 'K', 'P']"
"['B', 'J', 'L', 'O', 'P']"
"['A', 'F', 'H', 'I', 'N']"
"['D', 'G', 'H', 'L', 'P']"
"['A', 'D', 'K', 'L', 'N']"
"['B', 'I', 'L', 'N', 'P']"
"['A', 'B', 'F', 'L', 'Q']"
"['E', 'G', 'J', 'N', 'Q']"
"['D', 'E', 'L', 'M', 'Q']"
"['E', 'G', 'H', 'I', 'K']"
"['F', 'G', 'I', 'L', 'O']"
"['D', 'E', 'F', 'L', 'P']"
"['C', 'I', 'J', 'K', 'O']"
"['C', 'E', 'F', 'G', 'M']"
"['B', 'C', 'I', 'L', 'P']"
"['A', 'D', 'F', 'L', 'Q']"
"['B', 'J', 'K', 'L', 'N']"
"['D', 'E', 'G', 'L', 'P']"
"['B', 'H', 'L', 'N', 'P']"
"['B', 'H', 'K', 'N', 'P']"
"['F', 'G', 'I', 'J', 'O']"
"['B', 'H', 'L', 'N', 'O']"
"['B', 'E', 'H', 'M', 'P']"
"['A', 'C', 'D', 'G', 'Q']"
"['A', 'G', 'K', 'M', 'Q']"
"['A', 'D', 'J', 'M', 'N']"
"['A', 'F', 'H', 'M', 'Q']"
"['C', 'E', 'L', 'M', 'Q']"
"['B', 'C', 'G', 'H', 'J']"
"['D', 'J', 'N', 'P', 'Q']"
"['A', 'C', 'G', 'J', 'Q']"
"['B', 'E', 'I', 'J', 'M']"
"['B', 'F', 'H', 'J', 'K']"
"['A', 'F', 'G', 'K', 'L']"
"['G', 'J', 'L', 'N', 'O']"
"['A', 'B', 'F', 'I', 'P']"
"['D', 'F', 'J', 'M', 'Q']"
"['A', 'B', 'C', 'K', 'O']"
"['A', 'F', 'J', 'L', 'P']"
"['A', 'E', 'G', 'I', 'N']"
"['C', 'E', 'H', 'L', 'M']"
"['C', 'H', 'I', 'O', 'Q']"
"['J', 'K', 'M', 'N', 'O']"
"['B', 'D', 'I', 'L', 'O']"
"['H', 'J', 'L', 'M', 'P']"
"['H', 'I', 'J', 'K', 'Q']"
"['D', 'G', 'J', 'M', 'N']"
"['F', 'K', 'L', 'O', 'Q']"
"['B', 'J', 'K', 'N', 'P']"
"['A', 'E', 'G', 'J', 'P']"
"['B', 'D', 'H', 'J', 'M']"
"['F', 'J', 'K', 'L', 'N']"
"['E', 'F', 'K', 'O', 'Q']"
"['E', 'H', 'N', 'O', 'P']"
"['B', 'C', 'E', 'N', 'P']"
"['B', 'E', 'N', 'P', 'Q']"
"['B', 'H', 'I', 'J', 'P']"
"['B', 'D', 'F', 'N', 'P']"
"['C', 'E', 'F', 'O', 'Q']"
"['C', 'E', 'G', 'J', 'O']"
"['C', 'E', 'H', 'I', 'Q']"
"['B', 'D', 'J', 'K', 'M']"
"['C', 'D', 'M', 'O', 'P']"
"['J', 'K', 'L', 'M', 'P']"
"['B', 'F', 'J', 'L', 'Q']"
"['A', 'G', 'I', 'M', 'O']"
"['C', 'D', 'K', 'L', 'P']"
"['A', 'D', 'E', 'H', 'K']"
"['D', 'H', 'I', 'N', 'P']"
"['A', 'I', 'L', 'M', 'P']"
"['A', 'D', 'E', 'J', 'M']"
"['D', 'G', 'I', 'L', 'N']"
"['B', 'D', 'G', 'I', 'P']"
"['B', 'I', 'J', 'L', 'O']"
"['A', 'D', 'H', 'I', 'M']"
"['E', 'K', 'L', 'M', 'O']"
"['A', 'B', 'D', 'F', 'L']"
"['A', 'H', 'I', 'O', 'P']"
"['E', 'F', 'G', 'H', 'L']"
"['D', 'E', 'G', 'H', 'N']"
"['A', 'G', 'I', 'L', 'N']"
"['D', 'E', 'G', 'O', 'Q']"
"['C', 'G', 'I', 'K', 'Q']"
"['D', 'F', 'J', 'N', 'Q']"
"['B', 'C', 'L', 'P', 'Q']"
"['B', 'J', 'K', 'O', 'Q']"
"['A', 'B', 'D', 'H', 'K']"
"['C', 'D', 'F', 'I', 'J']"
"['B', 'C', 'F', 'G', 'Q']"
"['E', 'G', 'K', 'L', 'M']"
"['A', 'I', 'J', 'M', 'Q']"
"['C', 'F', 'M', 'O', 'Q']"
"['B', 'H', 'J', 'L', 'N']"
"['B', 'K', 'L', 'O', 'P']"
"['D', 'H', 'I', 'K', 'M']"
"['E', 'H', 'M', 'P', 'Q']"
"['C', 'G', 'H', 'K', 'P']"
"['A', 'C', 'G', 'K', 'N']"
"['A', 'B', 'C', 'I', 'K']"
"['D', 'G', 'H', 'M', 'Q']"
"['B', 'H', 'K', 'L', 'Q']"
"['C', 'G', 'J', 'P', 'Q']"
"['D', 'F', 'I', 'M', 'O']"
"['C', 'I', 'J', 'N', 'O']"
"['C', 'D', 'H', 'L', 'Q']"
"['D', 'F', 'J', 'K', 'P']"
"['B', 'D', 'K', 'N', 'Q']"
"['A', 'F', 'L', 'N', 'Q']"
"['C', 'F', 'H', 'J', 'O']"
"['C', 'E', 'N', 'O', 'Q']"
"['C', 'K', 'O', 'P', 'Q']"
"['A', 'G', 'H', 'N', 'O']"
"['F', 'G', 'I', 'J', 'P']"
"['J', 'K', 'L', 'N', 'P']"
"['F', 'G', 'L', 'M', 'Q']"
"['B', 'G', 'H', 'I', 'P']"
"['D', 'E', 'G', 'H', 'M']"
"['B', 'C', 'D', 'J', 'N']"
"['D', 'G', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'M', 'N']"
"['C', 'I', 'L', 'O', 'Q']"
"['B', 'D', 'F', 'I', 'K']"
"['D', 'F', 'H', 'I', 'N']"
"['A', 'D', 'H', 'K', 'Q']"
"['B', 'D', 'F', 'G', 'K']"
"['C', 'E', 'G', 'L', 'Q']"
"['B', 'E', 'H', 'L', 'P']"
"['A', 'E', 'K', 'M', 'N']"
"['C', 'D', 'H', 'K', 'L']"
"['G', 'H', 'K', 'M', 'Q']"
"['C', 'I', 'L', 'O', 'P']"
"['D', 'E', 'J', 'L', 'N']"
"['A', 'K', 'L', 'P', 'Q']"
"['D', 'H', 'J', 'M', 'N']"
"['A', 'B', 'K', 'N', 'P']"
"['E', 'G', 'L', 'M', 'Q']"
"['A', 'D', 'F', 'J', 'K']"
"['E', 'G', 'N', 'O', 'P']"
"['E', 'H', 'L', 'M', 'N']"
"['G', 'J', 'K', 'N', 'O']"
"['D', 'G', 'K', 'L', 'P']"
"['A', 'G', 'H', 'K', 'L']"
"['D', 'F', 'G', 'H', 'Q']"
"['C', 'E', 'F', 'H', 'K']"
"['A', 'E', 'F', 'H', 'O']"
"['C', 'F', 'G', 'N', 'O']"
"['B', 'H', 'I', 'M', 'Q']"
"['D', 'E', 'H', 'M', 'O']"
"['B', 'G', 'J', 'K', 'L']"
"['A', 'B', 'D', 'G', 'L']"
"['A', 'C', 'J', 'L', 'N']"
"['A', 'C', 'F', 'G', 'L']"
"['E', 'F', 'I', 'M', 'O']"
"['C', 'K', 'M', 'N', 'O']"
"['B', 'C', 'E', 'L', 'O']"
"['A', 'E', 'G', 'H', 'P']"
"['E', 'I', 'J', 'L', 'P']"
"['A', 'E', 'H', 'I', 'N']"
"['B', 'G', 'J', 'L', 'P']"
"['B', 'H', 'I', 'N', 'P']"
"['B', 'E', 'G', 'O', 'Q']"
"['F', 'G', 'I', 'K', 'O']"
"['D', 'E', 'K', 'M', 'N']"
"['C', 'F', 'I', 'M', 'P']"
"['H', 'I', 'K', 'N', 'O']"
"['A', 'D', 'G', 'L', 'O']"
"['A', 'B', 'H', 'M', 'Q']"
"['C', 'D', 'H', 'I', 'N']"
"['A', 'D', 'I', 'K', 'L']"
"['B', 'C', 'D', 'E', 'G']"
"['C', 'F', 'H', 'K', 'O']"
"['D', 'H', 'J', 'L', 'P']"
"['B', 'C', 'G', 'J', 'L']"
"['C', 'E', 'G', 'H', 'O']"
"['A', 'C', 'G', 'I', 'J']"
"['D', 'F', 'G', 'I', 'K']"
"['A', 'F', 'I', 'P', 'Q']"
"['B', 'L', 'M', 'N', 'O']"
"['A', 'B', 'C', 'D', 'O']"
"['B', 'I', 'K', 'L', 'M']"
"['A', 'H', 'I', 'M', 'P']"
"['B', 'C', 'H', 'I', 'N']"
"['C', 'E', 'H', 'L', 'O']"
"['B', 'H', 'M', 'O', 'P']"
"['A', 'B', 'M', 'N', 'Q']"
"['B', 'E', 'L', 'O', 'P']"
"['C', 'G', 'L', 'P', 'Q']"
"['A', 'B', 'E', 'H', 'L']"
"['B', 'F', 'H', 'I', 'O']"
"['C', 'D', 'G', 'J', 'K']"
"['D', 'E', 'I', 'K', 'Q']"
"['C', 'K', 'L', 'N', 'Q']"
"['F', 'L', 'M', 'N', 'P']"
"['D', 'F', 'H', 'M', 'P']"
"['D', 'H', 'M', 'N', 'P']"
"['B', 'D', 'E', 'K', 'P']"
"['B', 'C', 'D', 'I', 'O']"
"['C', 'G', 'L', 'M', 'N']"
"['B', 'C', 'H', 'I', 'L']"
"['C', 'H', 'J', 'K', 'Q']"
"['F', 'K', 'O', 'P', 'Q']"
"['C', 'I', 'J', 'K', 'Q']"
"['B', 'F', 'I', 'K', 'O']"
"['E', 'K', 'L', 'N', 'O']"
"['A', 'K', 'L', 'N', 'Q']"
"['D', 'E', 'G', 'P', 'Q']"
"['F', 'G', 'L', 'O', 'P']"
"['B', 'D', 'H', 'I', 'P']"
"['H', 'I', 'O', 'P', 'Q']"
"['C', 'F', 'J', 'L', 'P']"
"['A', 'C', 'D', 'I', 'N']"
"['C', 'I', 'M', 'O', 'Q']"
"['A', 'E', 'J', 'M', 'P']"
"['E', 'F', 'I', 'J', 'L']"
"['B', 'H', 'O', 'P', 'Q']"
"['C', 'F', 'K', 'O', 'P']"
"['A', 'D', 'H', 'I', 'K']"
"['A', 'C', 'G', 'N', 'P']"
"['A', 'K', 'M', 'N', 'P']"
"['A', 'C', 'K', 'L', 'N']"
"['D', 'G', 'K', 'L', 'N']"
"['B', 'D', 'F', 'L', 'N']"
"['B', 'D', 'H', 'I', 'N']"
"['G', 'J', 'K', 'L', 'M']"
"['A', 'B', 'D', 'E', 'Q']"
"['J', 'L', 'O', 'P', 'Q']"
"['D', 'F', 'H', 'I', 'L']"
"['A', 'C', 'F', 'L', 'P']"
"['A', 'D', 'G', 'K', 'L']"
"['C', 'H', 'L', 'O', 'Q']"
"['F', 'G', 'M', 'P', 'Q']"
"['E', 'F', 'I', 'K', 'M']"
"['B', 'F', 'I', 'J', 'M']"
"['F', 'I', 'J', 'N', 'P']"
"['A', 'D', 'F', 'J', 'N']"
"['C', 'G', 'I', 'J', 'K']"
"['E', 'G', 'J', 'K', 'Q']"
"['A', 'H', 'N', 'P', 'Q']"
"['A', 'J', 'K', 'N', 'Q']"
"['F', 'H', 'O', 'P', 'Q']"
"['G', 'H', 'I', 'N', 'P']"
"['D', 'J', 'K', 'O', 'P']"
"['A', 'F', 'L', 'N', 'P']"
"['B', 'E', 'K', 'M', 'N']"
"['D', 'E', 'K', 'L', 'M']"
"['A', 'E', 'H', 'J', 'N']"
"['E', 'F', 'I', 'J', 'P']"
"['C', 'D', 'E', 'G', 'L']"
"['C', 'D', 'F', 'O', 'Q']"
"['C', 'G', 'H', 'J', 'N']"
"['D', 'E', 'H', 'N', 'O']"
"['C', 'H', 'J', 'L', 'O']"
"['B', 'G', 'I', 'K', 'Q']"
"['B', 'D', 'G', 'H', 'J']"
"['C', 'F', 'G', 'M', 'Q']"
"['E', 'F', 'K', 'L', 'M']"
"['B', 'D', 'F', 'G', 'Q']"
"['C', 'I', 'J', 'M', 'P']"
"['E', 'I', 'N', 'O', 'P']"
"['B', 'E', 'F', 'L', 'M']"
"['B', 'F', 'H', 'I', 'J']"
"['H', 'J', 'M', 'N', 'P']"
"['B', 'D', 'E', 'I', 'K']"
"['A', 'B', 'F', 'N', 'Q']"
"['B', 'G', 'K', 'N', 'P']"
"['A', 'E', 'F', 'I', 'P']"
"['A', 'E', 'K', 'L', 'P']"
"['E', 'H', 'J', 'K', 'O']"
"['A', 'H', 'I', 'P', 'Q']"
"['B', 'E', 'G', 'H', 'L']"
"['B', 'D', 'I', 'M', 'O']"
"['A', 'C', 'G', 'J', 'M']"
"['A', 'C', 'D', 'F', 'L']"
"['A', 'E', 'G', 'I', 'O']"
"['A', 'G', 'J', 'M', 'Q']"
"['G', 'I', 'M', 'O', 'Q']"
"['B', 'C', 'D', 'H', 'P']"
"['C', 'H', 'I', 'J', 'K']"
"['A', 'G', 'H', 'I', 'L']"
"['A', 'E', 'F', 'M', 'O']"
"['B', 'G', 'K', 'L', 'M']"
"['C', 'I', 'K', 'M', 'P']"
"['D', 'I', 'L', 'M', 'O']"
"['C', 'F', 'J', 'N', 'Q']"
"['B', 'F', 'G', 'N', 'Q']"
"['A', 'D', 'E', 'K', 'Q']"
"['B', 'H', 'L', 'P', 'Q']"
"['C', 'D', 'F', 'I', 'L']"
"['I', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'F', 'H', 'K']"
"['A', 'F', 'M', 'N', 'O']"
"['C', 'F', 'K', 'L', 'M']"
"['A', 'C', 'K', 'O', 'P']"
"['A', 'C', 'J', 'K', 'O']"
"['B', 'E', 'G', 'I', 'N']"
"['A', 'G', 'H', 'I', 'O']"
"['F', 'J', 'M', 'N', 'Q']"
"['C', 'D', 'L', 'P', 'Q']"
"['D', 'E', 'F', 'M', 'O']"
"['G', 'M', 'O', 'P', 'Q']"
"['C', 'E', 'F', 'L', 'P']"
"['C', 'D', 'G', 'H', 'I']"
"['D', 'F', 'I', 'J', 'M']"
"['G', 'J', 'N', 'O', 'Q']"
"['C', 'D', 'K', 'N', 'O']"
"['A', 'C', 'E', 'K', 'L']"
"['K', 'L', 'M', 'N', 'O']"
"['H', 'J', 'K', 'L', 'M']"
"['C', 'F', 'G', 'J', 'O']"
"['H', 'M', 'N', 'P', 'Q']"
"['D', 'F', 'I', 'L', 'M']"
"['B', 'C', 'H', 'I', 'M']"
"['D', 'F', 'I', 'N', 'P']"
"['B', 'G', 'L', 'P', 'Q']"
"['B', 'C', 'D', 'F', 'M']"
"['C', 'F', 'J', 'K', 'P']"
"['B', 'I', 'J', 'K', 'N']"
"['D', 'I', 'L', 'N', 'O']"
"['B', 'H', 'K', 'M', 'N']"
"['C', 'G', 'H', 'L', 'Q']"
"['A', 'B', 'C', 'H', 'K']"
"['C', 'F', 'K', 'L', 'P']"
"['C', 'E', 'H', 'J', 'Q']"
"['A', 'E', 'H', 'J', 'O']"
"['C', 'E', 'I', 'J', 'P']"
"['H', 'J', 'K', 'N', 'Q']"
"['B', 'D', 'E', 'M', 'N']"
"['E', 'M', 'O', 'P', 'Q']"
"['E', 'I', 'L', 'N', 'Q']"
"['C', 'D', 'E', 'G', 'P']"
"['A', 'B', 'C', 'I', 'N']"
"['D', 'K', 'L', 'N', 'P']"
"['A', 'D', 'I', 'K', 'M']"
"['G', 'J', 'L', 'M', 'O']"
"['D', 'E', 'I', 'J', 'O']"
"['B', 'C', 'H', 'M', 'N']"
"['A', 'E', 'G', 'L', 'P']"
"['C', 'F', 'I', 'M', 'N']"
"['G', 'H', 'J', 'L', 'Q']"
"['F', 'I', 'J', 'K', 'O']"
"['C', 'E', 'I', 'J', 'M']"
"['A', 'B', 'C', 'L', 'N']"
"['B', 'C', 'D', 'K', 'L']"
"['H', 'K', 'M', 'N', 'O']"
"['A', 'E', 'K', 'P', 'Q']"
"['H', 'I', 'L', 'N', 'Q']"
"['A', 'B', 'C', 'J', 'O']"
"['D', 'E', 'K', 'L', 'N']"
"['H', 'I', 'M', 'N', 'O']"
"['B', 'E', 'H', 'L', 'O']"
"['F', 'J', 'K', 'N', 'P']"
"['A', 'C', 'F', 'I', 'O']"
"['A', 'B', 'K', 'N', 'O']"
"['A', 'B', 'C', 'D', 'Q']"
"['B', 'D', 'E', 'G', 'M']"
"['G', 'L', 'N', 'O', 'P']"
"['B', 'D', 'F', 'M', 'O']"
"['E', 'F', 'G', 'P', 'Q']"
"['G', 'I', 'K', 'N', 'P']"
"['E', 'G', 'K', 'N', 'Q']"
"['H', 'I', 'N', 'P', 'Q']"
"['B', 'E', 'G', 'I', 'M']"
"['F', 'K', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'F', 'J']"
"['C', 'D', 'J', 'L', 'M']"
"['E', 'H', 'K', 'L', 'Q']"
"['E', 'L', 'N', 'O', 'P']"
"['A', 'D', 'E', 'J', 'L']"
"['I', 'K', 'M', 'O', 'Q']"
"['D', 'G', 'H', 'I', 'L']"
"['B', 'D', 'F', 'M', 'P']"
"['B', 'C', 'D', 'I', 'K']"
"['B', 'D', 'H', 'I', 'M']"
"['A', 'B', 'E', 'I', 'K']"
"['D', 'G', 'J', 'K', 'M']"
"['H', 'J', 'L', 'M', 'O']"
"['C', 'F', 'G', 'H', 'L']"
"['A', 'F', 'G', 'I', 'P']"
"['H', 'J', 'K', 'O', 'P']"
"['A', 'E', 'F', 'H', 'P']"
"['A', 'J', 'K', 'M', 'P']"
"['C', 'I', 'J', 'M', 'Q']"
"['B', 'F', 'G', 'O', 'P']"
"['B', 'D', 'M', 'P', 'Q']"
"['A', 'B', 'D', 'L', 'N']"
"['A', 'C', 'M', 'N', 'P']"
"['B', 'C', 'D', 'F', 'P']"
"['A', 'G', 'J', 'L', 'Q']"
"['C', 'E', 'F', 'I', 'N']"
"['D', 'G', 'K', 'L', 'Q']"
"['B', 'F', 'J', 'K', 'P']"
"['A', 'C', 'G', 'O', 'P']"
"['A', 'C', 'F', 'J', 'L']"
"['A', 'F', 'I', 'J', 'N']"
"['A', 'C', 'H', 'K', 'L']"
"['B', 'I', 'J', 'K', 'Q']"
"['E', 'F', 'K', 'M', 'N']"
"['A', 'B', 'I', 'L', 'O']"
"['C', 'G', 'J', 'K', 'L']"
"['E', 'G', 'M', 'O', 'Q']"
"['B', 'C', 'D', 'G', 'P']"
"['A', 'H', 'M', 'P', 'Q']"
"['C', 'J', 'K', 'L', 'Q']"
"['A', 'I', 'L', 'M', 'Q']"
"['C', 'F', 'G', 'H', 'Q']"
"['B', 'D', 'E', 'G', 'K']"
"['B', 'H', 'I', 'L', 'O']"
"['A', 'C', 'D', 'F', 'H']"
"['A', 'C', 'F', 'M', 'Q']"
"['A', 'F', 'H', 'N', 'P']"
"['A', 'K', 'L', 'O', 'Q']"
"['G', 'I', 'J', 'K', 'Q']"
"['A', 'J', 'M', 'O', 'Q']"
"['D', 'E', 'J', 'N', 'Q']"
"['A', 'E', 'H', 'O', 'P']"
"['B', 'I', 'K', 'O', 'P']"
"['A', 'G', 'H', 'O', 'P']"
"['E', 'F', 'K', 'M', 'Q']"
"['D', 'E', 'H', 'J', 'N']"
"['A', 'B', 'C', 'K', 'N']"
"['E', 'I', 'K', 'N', 'Q']"
"['D', 'E', 'G', 'I', 'J']"
"['A', 'D', 'G', 'J', 'K']"
"['B', 'G', 'K', 'L', 'O']"
"['A', 'C', 'E', 'J', 'K']"
"['B', 'E', 'I', 'O', 'P']"
"['A', 'E', 'J', 'M', 'O']"
"['A', 'F', 'G', 'J', 'L']"
"['B', 'E', 'I', 'J', 'L']"
"['E', 'L', 'N', 'P', 'Q']"
"['B', 'F', 'G', 'I', 'O']"
"['B', 'E', 'F', 'H', 'P']"
"['C', 'G', 'H', 'I', 'P']"
"['A', 'F', 'G', 'I', 'J']"
"['A', 'E', 'I', 'O', 'Q']"
"['D', 'E', 'F', 'I', 'M']"
"['D', 'E', 'I', 'L', 'Q']"
"['A', 'H', 'J', 'K', 'P']"
"['B', 'E', 'G', 'K', 'P']"
"['A', 'J', 'L', 'P', 'Q']"
"['B', 'E', 'F', 'G', 'Q']"
"['B', 'F', 'G', 'I', 'L']"
"['B', 'K', 'M', 'P', 'Q']"
"['A', 'C', 'K', 'L', 'P']"
"['C', 'D', 'G', 'I', 'J']"
"['C', 'J', 'K', 'M', 'N']"
"['F', 'H', 'I', 'L', 'O']"
"['C', 'F', 'G', 'K', 'M']"
"['A', 'G', 'M', 'N', 'P']"
"['C', 'F', 'H', 'I', 'K']"
"['A', 'G', 'I', 'J', 'K']"
"['A', 'B', 'I', 'J', 'M']"
"['C', 'D', 'E', 'L', 'Q']"
"['B', 'C', 'I', 'L', 'O']"
"['B', 'I', 'M', 'N', 'P']"
"['B', 'D', 'G', 'I', 'L']"
"['A', 'B', 'F', 'M', 'Q']"
"['H', 'J', 'M', 'O', 'P']"
"['E', 'H', 'J', 'N', 'Q']"
"['J', 'L', 'N', 'O', 'Q']"
"['A', 'C', 'F', 'P', 'Q']"
"['C', 'J', 'M', 'P', 'Q']"
"['C', 'H', 'J', 'K', 'N']"
"['D', 'G', 'H', 'J', 'L']"
"['B', 'F', 'H', 'N', 'Q']"
"['C', 'G', 'K', 'L', 'O']"
"['D', 'E', 'G', 'L', 'Q']"
"['B', 'G', 'H', 'N', 'Q']"
"['F', 'H', 'L', 'M', 'N']"
"['C', 'D', 'G', 'H', 'O']"
"['A', 'F', 'H', 'K', 'M']"
"['A', 'B', 'C', 'M', 'P']"
"['F', 'I', 'J', 'M', 'N']"
"['F', 'I', 'L', 'N', 'P']"
"['B', 'I', 'J', 'O', 'P']"
"['I', 'J', 'L', 'M', 'Q']"
"['B', 'C', 'H', 'L', 'N']"
"['F', 'H', 'J', 'L', 'O']"
"['E', 'G', 'I', 'K', 'O']"
"['D', 'E', 'J', 'M', 'N']"
"['F', 'I', 'L', 'P', 'Q']"
"['F', 'H', 'I', 'K', 'N']"
"['A', 'D', 'G', 'I', 'M']"
"['E', 'J', 'M', 'O', 'P']"
"['E', 'G', 'I', 'K', 'M']"
"['D', 'I', 'L', 'M', 'N']"
"['E', 'H', 'J', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'N']"
"['B', 'D', 'E', 'H', 'N']"
"['B', 'F', 'H', 'K', 'P']"
"['A', 'E', 'G', 'J', 'L']"
"['A', 'B', 'G', 'K', 'M']"
"['F', 'H', 'I', 'L', 'Q']"
"['D', 'F', 'I', 'K', 'P']"
"['C', 'F', 'L', 'O', 'Q']"
"['A', 'B', 'D', 'M', 'P']"
"['F', 'G', 'M', 'O', 'Q']"
"['A', 'B', 'C', 'K', 'M']"
"['C', 'H', 'J', 'P', 'Q']"
"['D', 'F', 'H', 'I', 'P']"
"['F', 'H', 'I', 'L', 'N']"
"['A', 'D', 'F', 'K', 'L']"
"['A', 'B', 'D', 'H', 'I']"
"['C', 'G', 'J', 'N', 'P']"
"['B', 'G', 'M', 'O', 'Q']"
"['D', 'G', 'L', 'O', 'P']"
"['B', 'D', 'G', 'J', 'N']"
